Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	6.66E+00	7.30E-01	2.74E+00	5.78E+00	2.47E+00	1.12E+00	1.71E+00	2.83E+00	7.16E-01	1.63E+00	6.55E+00	9.54E+00	2.17E+00	8.03E-01	2.06E+00	1.14E+00	7.64E+00	3.08E+00	7.03E+00
V2	6.87E-01	3.03E+00	2.81E+00	0.00E+00	1.27E+00	2.13E-01	5.50E+00	1.51E+00	1.13E+00	2.21E-01	5.58E-01	1.18E+00	4.79E+00	6.97E+00	6.76E+00	7.65E+00	1.25E+00	5.10E+00	1.72E+00
V3	2.39E+00	2.88E+00	8.75E-01	2.82E+00	4.67E-01	3.42E-01	3.33E+00	4.07E-01	1.00E-01	6.16E-01	5.66E+00	6.36E+00	1.94E+00	2.73E+00	1.77E+00	4.55E+00	0.00E+00	1.05E+00	2.71E+00
V4	5.04E-01	1.17E+00	6.41E+00	1.11E+00	8.39E+00	7.91E+00	7.10E+00	8.10E+00	5.75E+00	2.17E+00	1.73E+00	1.68E+00	2.35E+00	1.16E+00	2.70E+00	6.00E-01	1.81E+00	9.06E+00	0.00E+00
V5	3.13E+00	0.00E+00	1.85E+00	5.51E+00	3.24E+00	1.02E+00	4.00E-01	2.91E+00	7.00E-01	1.37E+00	3.20E+00	5.46E+00	1.68E+00	4.33E-01	3.40E-01	0.00E+00	1.35E+00	9.33E-01	2.96E+00
V6	1.33E-01	2.25E+00	0.00E+00	1.22E+00	0.00E+00	0.00E+00	0.00E+00	4.00E-01	0.00E+00	1.00E-01	1.42E+00	1.70E+00	4.23E-01	2.13E-01	5.59E-01	2.50E+00	1.00E-01	0.00E+00	7.37E-01
V7	1.93E+00	3.11E+00	1.61E+00	0.00E+00	2.36E+00	6.10E+00	1.38E+00	2.75E+00	3.90E+00	6.24E+00	4.16E-01	6.00E-01	2.63E+00	4.90E-01	1.63E+00	3.05E+00	1.22E+00	2.04E+00	2.04E+00
V8	1.46E+01	7.04E+00	9.68E-01	9.40E-01	6.05E-01	8.00E-01	3.48E-01	7.89E-01	9.80E-01	2.51E+00	7.75E-01	1.63E+00	3.42E-01	5.26E-01	3.00E-01	7.80E+00	1.12E+00	1.27E+00	1.61E+01
V9	2.69E+00	8.50E+00	0.00E+00	2.29E+00	8.31E-01	1.80E+00	4.00E-01	1.31E+00	5.00E-01	7.67E-01	3.86E+00	3.95E+00	3.06E-01	8.85E-01	1.19E+00	9.84E+00	2.86E+00	6.96E-01	3.12E+00
V10	1.96E+00	2.33E-01	6.53E-01	5.57E+00	4.07E-01	8.00E-01	1.41E+00	2.70E+00	0.00E+00	1.32E+00	5.42E+00	8.55E+00	2.21E-01	2.35E+00	9.17E-01	0.00E+00	0.00E+00	2.17E+00	7.95E-01
