Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.84,0.81,NO,N/A,55.94%,76.31%,125.55%,60.19%,110.34,0.5083,1.047,0.222,0.634,0.756,0.299
3,0.92,0.85,NO,N/A,40.19%,59.19%,123.38%,43.18%,88.69,10.3912,1000.0,0.133,0.505,0.854,0.438
4,0.96,0.87,NO,N/A,26.19%,45.96%,111.14%,29.31%,79.54,0.3034,0.9884,0.077,0.369,0.914,0.595
5,0.85,0.43,NO,N/A,21.18%,36.31%,97.19%,22.1%,77.48,0.221,0.674,0.048,0.345,0.946,0.601
6*,1.0,1.0,YES,Most Stab Sigs,13.5%,26.6%,56.03%,16.39%,55.22,0.1416,0.3448,0.021,0.16,0.977,0.812
7,0.78,-0.48,NO,N/A,12.5%,26.6%,62.19%,14.45%,47.98,0.148,0.3438,0.019,0.122,0.979,0.86
8,0.61,-0.62,NO,N/A,11.99%,25.99%,63.43%,15.01%,50.42,0.1486,0.3745,0.018,0.136,0.981,0.844
9,0.55,-0.51,NO,N/A,11.02%,24.71%,52.71%,13.62%,50.0,0.1398,0.3484,0.015,0.134,0.983,0.841
10,0.5,-0.78,NO,N/A,10.2%,23.72%,46.59%,12.28%,40.6,0.1367,0.339,0.012,0.086,0.986,0.902
11,0.5,-0.31,NO,N/A,9.48%,22.02%,49.1%,11.3%,40.95,0.1348,0.3452,0.011,0.084,0.988,0.904
12,0.5,-0.67,NO,N/A,8.74%,20.53%,41.88%,10.13%,31.47,0.1281,0.3428,0.009,0.049,0.99,0.942
13,0.43,-0.62,NO,N/A,8.42%,21.86%,40.74%,10.46%,31.84,0.1298,0.3263,0.008,0.052,0.991,0.94
14,0.47,-0.68,NO,N/A,7.59%,19.78%,38.46%,9.55%,27.43,0.1186,0.365,0.007,0.038,0.992,0.955
15,0.42,-0.73,NO,N/A,6.53%,17.84%,42.22%,8.47%,24.76,0.1137,0.3426,0.005,0.031,0.994,0.965
16,0.36,-0.63,NO,N/A,6.68%,17.98%,34.7%,8.46%,25.69,0.1112,0.339,0.005,0.031,0.994,0.966
17,0.35,-0.63,NO,N/A,7.28%,18.0%,44.09%,8.46%,31.18,0.1177,0.3136,0.006,0.05,0.994,0.942
18,0.4,-0.77,NO,N/A,5.45%,15.19%,34.61%,7.02%,20.94,0.1009,0.2852,0.004,0.022,0.996,0.975
19,0.38,-0.59,NO,N/A,5.25%,15.22%,31.92%,7.05%,19.47,0.0998,0.3283,0.003,0.019,0.996,0.979
20,0.39,-0.66,NO,N/A,5.36%,14.91%,34.83%,7.09%,20.0,0.0984,0.3107,0.004,0.019,0.996,0.98
