Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	190	0.985	58.007	30.53%	10.304	17.558%	0.18417	0.982
V2	163	0.991	51.528	31.612%	11.912	13.69%	0.23778	0.99
V3	194	0.998	38.757	19.978%	7.325	8.224%	0.095	0.998
V4	335	1.0	39.176	11.694%	7.194	3.713%	0.0686	1.0
V5	266	0.953	96.972	36.456%	21.645	30.852%	0.14951	0.943
V6	97	0.982	29.231	30.135%	5.786	18.822%	0.19999	0.98
V7	59	0.906	43.243	73.293%	18.514	46.621%	0.60191	0.904
V8	131	0.974	49.757	37.982%	11.085	27.281%	0.20062	0.971
V9	118	0.958	44.776	37.946%	11.328	29.171%	0.19922	0.952
V10	303	0.993	65.879	21.742%	16.353	12.197%	0.08214	0.992
V11	216	0.992	52.866	24.475%	12.941	12.938%	0.16189	0.991
V12	222	0.983	65.042	29.298%	19.586	20.04%	0.12987	0.982
V13	109	0.969	39.739	36.458%	8.985	26.212%	0.23098	0.965
V14	462	0.988	126.795	27.445%	39.26	16.766%	0.12718	0.988
V15	219	0.995	58.043	26.504%	22.407	14.017%	0.2375	0.995
V16	561	0.976	136.339	24.303%	40.424	21.848%	0.08465	0.973
V17	380	0.998	72.025	18.954%	17.64	7.648%	0.09426	0.998
V18	407	0.996	74.314	18.259%	13.882	8.836%	0.07407	0.996
V19	204	0.995	41.731	20.456%	10.742	10.822%	0.13952	0.994
V20	550	0.999	68.85	12.518%	17.079	5.071%	0.25123	0.999
V21	480	0.93	187.428	39.048%	52.327	39.544%	0.16427	0.918
V22	233	0.993	53.782	23.082%	12.431	11.517%	0.12203	0.993
V23	114	0.994	28.798	25.261%	6.543	11.978%	0.17444	0.993
V24	935	1.0	107.841	11.534%	23.063	3.451%	0.05208	1.0
V25	184	0.981	47.334	25.725%	11.677	19.615%	0.13792	0.978
V26	440	0.996	83.606	19.001%	17.666	8.907%	0.10063	0.996
V27	232	0.998	39.051	16.832%	7.694	6.221%	0.12061	0.998
V28	750	0.985	162.577	21.677%	41.354	17.959%	0.05908	0.982
V29	549	0.954	212.812	38.764%	58.782	29.905%	0.25754	0.95
V30	292	0.999	39.903	13.665%	8.009	4.439%	0.10887	0.999
V31	884	0.998	147.326	16.666%	36.174	6.842%	0.08185	0.998
V32	257	0.999	51.973	20.223%	16.92	8.187%	0.30317	0.999
V33	296	0.997	51.535	17.41%	12.257	8.204%	0.10058	0.997
V34	133	0.935	68.689	51.646%	20.25	35.581%	0.37379	0.93
V35	242	0.967	88.863	36.72%	18.814	26.05%	0.15777	0.962
V36	471	0.995	101.157	21.477%	23.065	10.248%	0.22013	0.995
V37	130	0.951	43.594	33.534%	12.363	30.888%	0.19861	0.944
V38	171	0.989	44.814	26.207%	8.66	15.326%	0.15289	0.988
V39	207	0.987	63.736	30.79%	14.798	17.534%	0.24878	0.986
V40	193	0.993	53.11	27.518%	11.565	14.105%	0.18016	0.993
V41	451	0.963	147.578	32.722%	44.962	27.83%	0.11666	0.96
V42	525	0.99	117.13	22.31%	24.487	14.538%	0.12446	0.989
V43	181	0.979	57.403	31.714%	11.447	21.044%	0.17643	0.975
V44	309	0.973	83.719	27.094%	33.95	22.981%	0.09208	0.972
V45	189	0.993	32.461	17.175%	8.739	11.51%	0.10576	0.993
V46	50	0.989	13.084	26.168%	3.639	15.058%	0.19831	0.988
V47	530	0.991	124.439	23.479%	28.611	13.992%	0.08214	0.991
V48	133	0.981	39.852	29.964%	8.485	20.769%	0.18632	0.979
V49	193	0.999	26.515	13.738%	5.899	4.533%	0.1172	0.999
V50	567	0.994	125.001	22.046%	25.516	11.13%	0.09891	0.994
V51	427	0.984	112.82	26.422%	30.287	18.731%	0.09249	0.983
V52	484	0.976	149.83	30.957%	34.854	22.916%	0.10626	0.973
V53	93	0.974	31.378	33.74%	7.659	22.896%	0.18596	0.971
V54	382	0.971	119.632	31.317%	32.136	24.61%	0.12393	0.968
V55	492	0.997	75.262	15.297%	15.486	7.559%	0.0904	0.997
V56	31	0.981	12.067	38.926%	3.087	20.052%	0.45792	0.98
V57	144	0.993	38.709	26.881%	8.919	11.625%	0.17167	0.993
V58	109	0.997	18.037	16.548%	3.635	7.425%	0.12625	0.997
V59	116	0.974	38.137	32.877%	7.689	22.753%	0.22498	0.97
V60	161	0.993	43.417	26.967%	8.551	12.044%	0.16736	0.993
V61	271	0.998	44.117	16.279%	8.02	6.49%	0.0961	0.998
V62	409	0.998	59.519	14.552%	12.708	7.608%	0.09194	0.998
V63	300	0.98	91.687	30.562%	22.811	19.844%	0.14331	0.978
V64	178	0.976	55.205	31.014%	11.091	21.921%	0.17511	0.972
V65	505	0.998	69.738	13.81%	16.903	7.068%	0.05252	0.998
V66	331	0.991	67.647	20.437%	19.005	13.449%	0.11795	0.991
V67	356	0.968	98.026	27.535%	31.155	26.062%	0.0952	0.964
V68	246	0.952	94.001	38.212%	26.74	34.004%	0.17156	0.947
