Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	4.99E-01	2.93E+00	1.62E+01	0.00E+00	0.00E+00	1.00E-01	1.68E+00	1.52E+00	1.87E+01	1.33E-01	4.00E-01	6.40E+00	0.00E+00	1.15E+00	0.00E+00
V2	8.05E+00	1.20E+00	3.14E+00	6.36E+00	1.29E+01	9.00E+00	1.48E+00	1.86E+00	2.61E+00	4.94E+00	5.90E+00	2.00E+00	5.47E+00	4.34E+00	1.76E+01
V3	0.00E+00	1.15E+00	5.26E-01	4.01E+00	7.75E-01	5.54E-01	4.23E+00	4.59E+00	5.00E-01	2.94E+00	0.00E+00	3.27E+00	5.09E+00	0.00E+00	5.93E-01
V4	5.63E-01	3.15E+00	4.72E+00	7.00E+00	2.52E+00	2.48E+00	1.06E+01	9.84E+00	5.74E+00	4.55E+00	5.37E-01	5.09E+00	5.36E+00	2.68E+00	9.48E+00
V5	2.05E+00	1.25E+00	4.63E+00	3.86E+00	0.00E+00	1.16E+00	6.00E+00	6.16E+00	4.07E+00	2.62E+00	2.23E+00	5.88E+00	5.69E+00	0.00E+00	1.00E+00
V6	5.39E+00	2.09E+00	8.50E+00	6.86E+00	1.96E+00	2.43E+00	1.00E-01	3.89E-01	1.01E+01	2.30E+00	4.20E+00	7.50E+00	7.47E+00	1.70E+00	7.44E+00
V7	2.97E+00	1.26E+00	1.16E+01	3.88E+00	1.20E+00	9.24E-01	6.26E+00	4.49E+00	1.28E+01	4.91E+00	5.59E+00	4.70E+00	3.63E+00	1.71E+00	4.41E+00
V8	7.23E+00	7.27E+00	0.00E+00	5.90E+00	8.20E+00	7.01E+00	0.00E+00	0.00E+00	0.00E+00	3.39E+00	3.71E+00	5.40E+00	0.00E+00	4.64E+00	8.95E+00
V9	0.00E+00	1.07E+00	9.33E-01	0.00E+00	2.83E+00	1.90E+00	9.75E-01	8.95E-01	6.57E-01	1.76E+00	0.00E+00	4.73E-01	0.00E+00	8.31E-01	4.00E-01
V10	6.05E-01	4.67E+00	3.62E+00	5.87E+00	3.48E+00	2.25E+00	1.00E-01	0.00E+00	3.63E+00	1.87E+00	8.23E-01	4.69E+00	3.84E+00	2.56E+00	5.44E+00
V11	2.30E+00	7.02E-01	2.05E+00	1.61E+00	5.63E+00	3.14E+00	0.00E+00	0.00E+00	2.14E+00	1.40E+00	4.99E-01	1.00E-01	0.00E+00	3.62E+00	6.58E+00
V12	0.00E+00	1.53E+00	3.09E+00	0.00E+00	2.19E+00	1.00E+00	3.06E-01	6.00E-01	2.41E+00	1.12E+00	3.00E-01	5.00E-01	3.41E+00	1.89E+00	4.73E-01
V13	4.95E+00	3.01E+00	9.57E-01	1.30E+01	6.00E-01	3.00E-01	4.76E+00	4.39E+00	1.08E+00	1.54E+00	6.53E+00	5.48E+00	1.16E+01	1.24E+00	5.55E+00
V14	7.42E-01	7.16E-01	9.38E+00	3.87E+00	9.64E-01	1.06E+00	1.87E+00	8.44E-01	7.88E+00	2.06E+00	1.22E+00	1.00E+00	3.82E+00	1.27E+00	2.80E+00
V15	9.44E+00	9.04E-01	9.03E+00	8.84E+00	1.17E+01	7.20E+00	1.75E+00	1.33E+00	9.30E+00	7.27E+00	8.80E+00	2.51E+00	8.34E+00	3.44E+00	1.61E+01
V16	7.24E+00	3.02E+00	5.30E+00	2.46E+00	0.00E+00	4.82E-01	3.17E+00	3.90E+00	6.11E+00	2.83E+00	1.02E+01	4.26E+00	1.27E+00	2.81E+00	9.43E-01
V17	2.94E+00	5.37E-01	5.63E+00	4.01E-01	6.07E+00	4.61E+00	6.17E+00	5.34E+00	5.51E+00	4.68E+00	2.61E+00	3.00E-01	4.07E+00	3.51E+00	5.97E-01
