Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	4.46E+00	6.23E-01	1.75E+00	1.77E+00	6.05E-01	4.77E-01	7.78E-01	1.01E+00	2.04E+00	1.09E+00	1.38E+00	1.30E+00	5.23E+00	6.96E-01
V2	0.00E+00	3.35E-01	6.51E-01	7.12E-01	1.15E+00	9.62E+00	7.07E+00	7.00E-01	1.08E+00	4.77E+00	1.51E+00	6.00E-01	1.00E-01	1.00E-01
V3	2.21E+00	5.72E+00	6.16E-01	1.34E+00	4.58E+00	3.42E-01	9.89E-01	3.92E+00	5.68E+00	8.94E-01	1.80E+00	2.56E+00	3.35E+00	3.39E+00
V4	9.00E-01	6.86E-01	6.15E-01	4.27E+00	0.00E+00	2.69E-01	0.00E+00	9.94E-01	0.00E+00	4.59E+00	2.67E-01	6.40E-01	9.17E-01	5.00E-01
V5	0.00E+00	2.59E+00	1.39E+00	9.17E-01	6.86E+00	1.45E+00	2.11E+00	1.14E+01	7.14E+00	1.30E+00	8.62E+00	4.14E+00	1.40E+00	1.32E+00
V6	0.00E+00	2.56E+00	0.00E+00	1.28E+00	8.73E+00	0.00E+00	0.00E+00	9.44E+00	5.28E+00	2.92E+00	7.62E+00	2.45E+00	2.90E+00	0.00E+00
V7	1.33E+00	7.06E-01	0.00E+00	3.99E+00	2.02E+00	5.26E+00	3.51E+00	1.33E+00	5.04E+00	7.79E+00	4.26E+00	1.74E+00	2.82E+00	1.98E+00
V8	2.70E+00	1.00E-01	2.17E+00	3.57E+00	1.37E+01	4.62E+00	4.42E+00	1.05E+01	1.25E+01	4.94E+00	9.42E+00	3.32E+00	6.90E+00	3.32E+00
V9	0.00E+00	3.73E+00	1.55E+00	3.05E+00	2.53E+00	7.52E+00	5.74E+00	2.23E+00	4.84E+00	2.37E+00	3.44E+00	3.43E+00	0.00E+00	3.85E+00
V10	1.78E+00	8.41E-01	1.56E+00	3.53E+00	3.33E-01	0.00E+00	6.46E-01	6.57E-01	7.00E-01	4.14E+00	9.52E-01	1.00E-01	2.06E+00	2.69E-01
V11	3.48E-01	1.27E+00	3.27E-01	2.84E+00	2.84E+00	6.40E-01	9.94E-01	5.73E+00	4.89E+00	2.65E+00	6.73E+00	1.60E+00	3.00E-01	3.06E-01
V12	1.85E+00	1.07E+00	1.86E+00	2.45E+00	4.23E-01	1.77E+00	1.20E+00	0.00E+00	2.19E+00	8.00E-01	1.40E+00	1.40E+00	1.87E+00	6.05E-01
V13	0.00E+00	2.34E+00	3.35E-01	9.97E+00	4.82E+00	1.82E+00	2.15E+00	2.94E+00	4.43E+00	1.20E+01	4.41E+00	0.00E+00	1.20E+00	1.65E+00
V14	1.59E+00	1.50E+00	8.75E-01	6.85E+00	3.35E-01	5.39E-01	0.00E+00	6.11E-01	0.00E+00	6.05E+00	4.00E-01	5.97E-01	8.00E-01	1.25E+00
V15	3.77E+00	2.26E+00	0.00E+00	8.72E-01	2.39E+00	1.83E+00	1.45E+00	1.12E+00	2.92E+00	1.43E+00	1.80E+00	2.56E+00	4.31E+00	5.00E-01
V16	0.00E+00	1.25E+00	2.77E-01	3.30E+00	1.41E+00	1.82E+00	6.05E-01	1.02E+00	1.69E+00	3.16E+00	1.21E+00	6.67E-01	0.00E+00	3.00E-01
V17	1.18E+01	3.52E+00	1.48E+00	1.61E+00	3.46E+00	0.00E+00	0.00E+00	5.38E+00	6.79E+00	4.53E+00	6.44E+00	4.65E+00	1.01E+01	3.25E+00
V18	9.36E-01	0.00E+00	6.67E-01	4.33E-01	0.00E+00	4.39E+00	3.80E+00	4.00E-01	2.00E-01	1.38E+00	5.00E-01	7.00E-01	2.00E-01	2.50E+00
V19	2.58E+01	1.21E+00	1.24E+00	7.34E-01	5.00E-01	2.64E+00	2.28E+00	1.89E+00	2.26E+00	1.63E+00	1.93E+00	2.20E+00	2.53E+01	5.00E-01
V20	2.29E+00	3.85E+00	4.52E-01	5.33E+00	2.04E+00	2.90E+00	2.78E+00	2.54E+00	4.65E+00	7.06E+00	3.54E+00	5.26E+00	2.36E+00	1.85E+00
V21	2.30E+00	1.10E+01	1.56E+00	7.38E+00	9.52E-01	5.00E-01	8.19E-01	1.80E+00	2.85E+00	1.08E+01	7.48E-01	1.31E+01	2.21E+00	4.42E+00
V22	1.51E+01	3.59E+00	0.00E+00	2.86E+01	7.93E+00	2.19E+00	3.06E+00	8.72E+00	1.25E+01	2.97E+01	3.49E+00	1.23E+01	1.26E+01	5.42E+00
V23	1.33E+00	1.33E+01	5.78E-01	3.59E-01	2.96E+00	6.80E-01	6.16E-01	2.25E+00	4.28E+00	2.13E-01	3.39E+00	1.26E+01	1.98E+00	2.00E-01
V24	0.00E+00	8.89E+00	2.65E+00	2.41E+01	5.86E-01	2.92E+00	1.39E+00	2.32E+00	2.50E+00	2.34E+01	1.67E+00	1.12E+01	4.73E-01	1.45E+00
V25	1.73E+01	2.24E-01	1.35E+00	1.33E+00	1.72E+01	1.11E+00	1.24E+00	1.89E+01	2.22E+01	1.43E+00	1.32E+01	3.00E-01	3.44E+01	1.68E+00
V26	4.48E+00	1.25E+00	4.10E+00	6.95E+00	3.79E+00	1.27E+00	5.00E-01	1.40E+00	5.49E+00	5.32E+00	2.75E+00	2.07E+00	5.28E+00	1.70E+00
V27	6.73E+00	4.96E+00	0.00E+00	1.68E+01	6.28E+00	0.00E+00	2.67E-01	8.00E+00	4.03E+00	1.50E+01	1.47E+00	1.69E+01	1.35E+01	1.86E+00
V28	4.17E+00	4.98E+00	0.00E+00	2.21E-01	4.41E+00	2.60E+00	1.48E+00	6.04E+00	5.77E+00	1.99E+00	4.98E+00	4.77E+00	7.17E+00	3.26E+00
V29	2.71E+00	1.66E+00	7.30E-01	4.37E+00	1.75E+00	7.00E-01	6.99E-01	1.39E+00	9.94E-01	4.25E+00	3.00E-01	1.07E+00	2.68E+00	9.00E-01
V30	1.16E+00	3.32E+00	4.28E-01	1.12E+01	8.74E+00	3.02E+01	2.97E+01	5.54E-01	2.05E+01	0.00E+00	4.13E+00	2.00E-01	2.09E+00	1.57E+01
V31	3.20E+00	1.10E+01	0.00E+00	2.67E+01	7.99E+00	1.11E+00	6.86E-01	1.21E+01	8.22E+00	3.45E+01	8.11E+00	1.11E+01	7.34E+00	8.45E+00
V32	3.71E+00	2.30E+00	7.22E-01	8.49E+00	6.96E-01	4.58E-01	5.96E-01	1.04E+00	1.51E+00	6.44E+00	8.94E-01	4.53E+00	4.45E+00	1.10E+00
V33	9.45E-01	6.29E-01	1.34E+00	3.92E+00	2.67E-01	1.80E+00	2.05E+00	1.28E+00	8.03E-01	4.82E+00	7.72E-01	1.06E+00	3.00E-01	2.00E+00
V34	1.11E+01	3.96E+00	2.03E+00	3.89E-01	3.40E+00	4.13E+00	3.60E+00	5.41E+00	6.43E+00	2.21E-01	1.91E+00	5.86E+00	1.34E+01	5.75E+00
V35	1.46E+00	1.53E+00	1.16E+00	5.08E+00	6.15E+00	1.54E+00	1.37E+00	2.02E+00	5.90E+00	3.20E+00	4.47E+00	4.41E+00	2.73E+00	1.14E+00
V36	5.61E+00	7.92E-01	1.11E+00	1.67E-01	9.32E-01	8.14E-01	3.40E-01	8.92E-01	1.71E+00	3.40E-01	1.65E+00	9.94E-01	5.51E+00	4.73E-01
V37	1.42E+00	1.71E+00	3.79E-01	0.00E+00	2.13E-01	3.89E-01	6.90E-01	3.06E-01	8.88E-01	1.00E-01	0.00E+00	7.33E-01	2.00E-01	4.27E-01
V38	1.29E+00	2.33E-01	2.15E+00	1.68E+00	1.26E+00	1.00E-01	3.65E-01	2.92E+00	1.98E+00	1.86E+00	2.85E+00	0.00E+00	3.20E+00	7.95E-01
V39	9.31E+00	1.23E+01	2.77E+00	4.47E-01	3.80E+00	1.81E+00	3.23E+00	7.49E+00	3.62E+00	6.99E-01	9.24E+00	1.26E+01	1.06E+01	1.23E+01
V40	6.84E-01	1.16E+00	2.39E+00	4.74E+00	1.20E+00	1.37E+01	1.48E+01	1.66E+00	1.55E+00	8.70E+00	8.88E-01	8.97E-01	1.29E+00	6.85E+00
V41	2.54E+00	1.67E+00	0.00E+00	3.79E-01	3.94E-01	9.89E-01	2.13E-01	5.96E-01	5.81E-01	7.06E-01	8.19E-01	4.99E-01	2.60E+00	1.87E+00
V42	1.69E+00	1.14E+01	0.00E+00	1.14E+01	1.11E+01	6.18E+00	3.54E+00	4.83E+00	1.47E+01	1.24E+01	1.08E+01	1.39E+01	4.12E+00	2.75E+00
V43	5.64E+00	5.42E-01	4.16E-01	0.00E+00	3.96E-01	4.82E-01	3.33E-01	1.01E+00	1.02E+00	0.00E+00	9.09E-01	3.00E-01	5.95E+00	3.06E-01
V44	8.90E+00	0.00E+00	1.21E+00	1.94E+00	3.52E+00	1.35E+00	8.14E-01	4.76E+00	4.08E+00	1.91E+00	1.67E+00	0.00E+00	9.69E+00	4.27E-01
V45	8.33E-01	9.65E+00	3.46E+00	3.59E-01	1.19E+00	5.04E+00	1.30E+01	5.33E-01	2.93E+00	2.29E+00	2.92E+00	9.89E+00	1.01E+00	1.47E+01
V46	3.21E+00	1.41E+00	1.93E+00	1.37E+00	1.18E+00	1.19E+00	1.24E+00	1.30E+00	1.75E+00	1.35E+00	2.00E-01	1.44E+00	4.01E+00	0.00E+00
V47	5.70E+00	3.48E+00	2.80E+00	1.08E+00	4.27E-01	2.53E+00	1.80E+00	0.00E+00	6.29E-01	6.15E-01	7.16E-01	4.01E+00	4.50E+00	8.95E-01
V48	7.42E+00	1.28E+01	4.76E-01	3.06E+00	5.12E+00	3.64E+00	3.04E+00	7.50E+00	8.38E+00	4.04E+00	4.65E+00	1.27E+01	5.09E+00	2.38E+00
V49	2.86E+00	3.03E+00	1.56E+00	5.69E+00	3.00E+00	8.79E-01	1.00E+00	2.44E+00	4.65E+00	8.23E+00	2.79E+00	3.43E+00	3.03E+00	1.67E+00
V50	2.74E+00	4.56E+00	0.00E+00	4.70E+00	6.76E+00	3.06E-01	6.80E-01	7.91E+00	6.75E+00	6.61E+00	3.59E+00	5.31E+00	4.44E+00	5.37E+00
V51	0.00E+00	1.98E+00	1.91E+00	1.20E+00	1.16E+00	2.43E+00	4.42E-01	9.07E-01	2.97E+00	1.58E+00	5.26E-01	3.63E+00	3.00E-01	3.02E+00
V52	8.15E+00	3.30E+00	1.93E+00	6.84E-01	4.78E+00	0.00E+00	0.00E+00	2.21E+00	2.18E+00	5.16E-01	1.48E+00	2.21E+00	7.75E+00	1.05E+00
V53	1.11E+00	4.16E+00	2.20E+00	1.13E+00	4.34E+00	0.00E+00	0.00E+00	2.66E+00	3.71E+00	1.78E+00	3.52E+00	4.67E+00	2.68E+00	1.34E+00
V54	2.65E+00	1.04E+01	9.00E-01	1.65E+01	4.23E-01	9.43E-01	6.00E-01	1.48E+00	8.97E-01	1.72E+01	9.71E-01	1.44E+01	2.48E+00	1.91E+00
V55	9.91E-01	3.94E-01	4.58E-01	1.07E+00	8.59E-01	0.00E+00	2.67E-01	1.33E+00	1.88E+00	1.48E+00	1.21E+00	6.96E-01	2.80E+00	1.00E-01
V56	6.84E-01	6.18E+00	4.02E+00	9.48E-01	2.70E+00	3.51E+00	3.49E+00	5.62E+00	2.96E+00	2.35E+00	5.86E+00	6.98E+00	2.20E+00	2.46E+00
V57	5.76E+00	3.54E+00	4.07E-01	3.79E-01	6.51E-01	1.00E-01	3.48E-01	6.18E-01	1.07E+00	3.27E-01	5.00E-01	3.90E+00	5.93E+00	4.99E-01
V58	3.19E+00	6.40E+00	2.34E+00	3.40E+00	1.81E+00	6.93E+00	4.96E+00	2.16E+00	3.25E+00	5.27E+00	2.05E+00	1.40E+01	3.11E+00	2.12E+00
V59	1.55E+00	3.27E+00	2.29E+00	2.88E+00	3.55E+00	7.33E-01	5.00E-01	8.43E-01	2.60E+00	2.98E+00	0.00E+00	2.91E-01	2.00E+00	3.29E+00
V60	6.92E+00	9.64E-01	2.03E+00	9.19E+00	2.74E+00	8.94E+00	8.35E+00	4.59E+00	5.46E+00	1.12E+01	6.63E+00	2.01E+00	1.22E+01	1.01E+01
V61	4.61E+00	6.13E+00	2.12E+00	5.10E+00	2.71E+00	7.00E+00	7.86E+00	2.50E+00	3.24E+00	6.72E+00	3.86E+00	5.85E+00	8.09E+00	9.19E+00
V62	4.22E-01	1.40E+01	1.22E+00	5.16E+00	1.55E+00	3.19E+00	4.45E+00	2.82E+00	2.69E+00	6.69E+00	2.37E+00	1.42E+01	1.51E+00	6.36E+00
V63	1.41E+00	1.38E+00	6.74E-01	1.61E+00	0.00E+00	0.00E+00	0.00E+00	1.06E+00	0.00E+00	2.74E+00	0.00E+00	1.09E+00	1.30E+00	7.00E-01
V64	2.88E+00	3.19E+00	3.65E-01	5.93E-01	7.95E-01	1.05E+01	6.37E+00	3.07E-01	3.42E-01	6.46E+00	0.00E+00	3.89E+00	1.68E+00	0.00E+00
V65	2.24E-01	4.32E+00	2.91E-01	4.29E+00	5.21E-01	3.94E+00	3.19E+00	1.07E+00	2.08E+00	4.16E+00	1.06E+00	3.75E+00	5.00E-01	2.25E+00
V66	7.10E+00	1.56E+00	6.46E-01	1.08E+01	3.83E+00	4.62E+00	9.95E+00	3.74E+00	7.79E+00	1.03E+01	1.48E+00	1.11E+01	7.67E+00	1.15E+01
V67	0.00E+00	4.36E+00	3.46E+00	0.00E+00	7.27E+00	2.85E+00	3.73E+00	4.72E+00	6.30E+00	2.10E+00	5.68E+00	5.24E+00	0.00E+00	1.20E+00
V68	1.54E+00	2.51E+00	1.71E+00	4.23E-01	9.79E+00	1.71E+00	8.41E-01	1.08E+01	1.39E+01	1.39E+00	9.50E+00	1.58E+00	2.33E+00	1.37E+00
V69	1.66E+01	1.78E+00	8.60E-01	5.35E+00	2.93E+00	2.12E+00	2.95E+00	5.86E+00	5.62E+00	4.91E+00	4.61E+00	5.96E+00	1.54E+01	1.65E+00
V70	3.79E-01	4.96E-01	2.98E-01	0.00E+00	6.57E-01	3.48E-01	4.33E-01	1.44E+00	7.95E-01	2.00E-01	1.11E+00	0.00E+00	2.00E-01	0.00E+00
V71	1.03E+01	2.14E+00	8.43E-01	2.16E+01	3.27E+00	3.75E+00	3.76E+00	3.24E+00	3.99E+00	2.01E+01	6.89E+00	5.95E+00	8.77E+00	3.84E+00
V72	1.89E+00	4.42E+00	1.43E+00	6.90E-01	4.71E-01	7.17E+00	6.72E+00	6.96E-01	1.58E+00	1.29E+00	1.31E+00	5.49E+00	1.08E+00	6.54E+00
V73	4.16E-01	3.40E+00	2.39E+00	2.75E+00	4.24E+00	5.78E+00	8.77E+00	2.66E+00	7.01E+00	2.97E+00	2.84E+00	2.54E+00	5.67E-01	1.16E+01
