MutationType	ID1	ID2	ID8	ID9	ID83A	ID83D
1:Del:C:0	0.00015989	0.00482412	0.03982756	0.33493988	0.00378265	0.01062561
1:Del:C:1	0.00077352	0.00002210	0.02391594	0.09999423	0.00316186	0.00027988
1:Del:C:2	0.00000000	0.00000311	0.00333055	0.00269066	0.00028859	0.00000002
1:Del:C:3	0.00190761	0.00247208	0.00540315	0.01062542	0.00185721	0.00039605
1:Del:C:4	0.00070599	0.00385698	0.00127571	0.01249690	0.00075955	0.00089790
1:Del:C:5	0.00337011	0.01461542	0.00093373	0.00004480	0.00000000	0.00026925
1:Del:T:0	0.00131160	0.00790597	0.03424369	0.10510537	0.00119712	0.05979980
1:Del:T:1	0.00000000	0.00000000	0.01045208	0.04429364	0.00055461	0.00166610
1:Del:T:2	0.00093645	0.00703642	0.00899203	0.08586196	0.00029660	0.00312120
1:Del:T:3	0.00229585	0.02023474	0.00982504	0.11325066	0.00454974	0.00038950
1:Del:T:4	0.00429142	0.04711993	0.00127378	0.09441274	0.00184360	0.00611623
1:Del:T:5	0.00000000	0.81469723	0.01062034	0.00092983	0.00000069	0.00000051
1:Ins:C:0	0.00000000	0.00000000	0.00276427	0.00000000	0.00008331	0.00000001
1:Ins:C:1	0.00000000	0.00022703	0.00216912	0.00000193	0.00020260	0.00000000
1:Ins:C:2	0.00000000	0.00002620	0.00152700	0.00035262	0.00000625	0.00114843
1:Ins:C:3	0.00084599	0.00043005	0.00011652	0.00000000	0.00014222	0.00000007
1:Ins:C:4	0.00178553	0.00291185	0.00055418	0.00000216	0.00003908	0.00073638
1:Ins:C:5	0.02429654	0.00901754	0.00048949	0.00007370	0.00075012	0.00042096
1:Ins:T:0	0.00228382	0.00132856	0.00450798	0.01261448	0.00000000	0.00000002
1:Ins:T:1	0.00004030	0.00000000	0.00486870	0.01038527	0.00060126	0.00000001
1:Ins:T:2	0.00019286	0.00064703	0.00142964	0.00231466	0.00005163	0.00000000
1:Ins:T:3	0.00424327	0.00108288	0.00108729	0.00160089	0.00011340	0.00000944
