Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	1.12E+01	9.67E-01	9.71E+00	1.45E+00	6.47E+00	0.00E+00	0.00E+00	1.86E+00	3.00E-01	3.67E+00	7.49E+00	9.77E+00	1.47E+01
V2	2.00E+01	7.60E+00	1.63E-01	1.09E+00	2.53E+00	9.29E-01	1.03E+00	6.52E+00	7.31E-01	2.80E+00	2.30E+00	1.99E+01	1.22E+01
V3	0.00E+00	1.29E+00	3.35E-01	1.49E+01	3.82E+00	0.00E+00	2.69E-01	1.57E+00	1.79E+01	2.84E+00	4.73E+00	1.00E-01	0.00E+00
V4	1.58E+00	0.00E+00	2.24E-01	1.32E+00	0.00E+00	1.28E+00	9.07E-01	2.00E-01	1.29E+00	0.00E+00	0.00E+00	1.46E+00	9.94E-01
V5	3.45E+01	3.48E-01	3.13E+00	4.72E+00	1.00E-01	8.83E-01	1.08E+00	0.00E+00	3.88E+00	0.00E+00	0.00E+00	3.22E+01	2.41E+01
V6	1.80E+01	8.20E+00	7.59E+00	1.86E+01	5.51E+00	2.30E+00	2.54E+00	5.99E+00	2.06E+01	5.19E+00	7.79E+00	1.73E+01	1.17E+01
V7	2.32E+00	0.00E+00	6.65E+00	5.19E+00	4.12E+00	8.43E+00	6.88E+00	8.00E-01	4.38E+00	6.92E+00	2.47E+00	1.48E+00	5.86E+00
V8	2.20E+00	4.32E+01	3.79E-01	6.80E+00	2.41E+00	4.26E+00	3.27E+00	4.36E+01	8.51E+00	2.31E+00	1.92E+00	1.60E+00	2.22E+00
V9	1.34E+01	1.52E+00	1.77E+00	1.38E+01	0.00E+00	2.42E+00	1.80E+00	4.82E+00	1.32E+01	1.09E+00	0.00E+00	1.36E+01	1.01E+01
V10	1.77E+00	4.64E+00	2.48E+00	1.98E+00	7.53E+00	1.11E+00	2.67E-01	4.67E+00	4.49E+00	7.77E+00	5.22E+00	4.73E-01	1.77E+00
V11	0.00E+00	3.14E-01	8.56E-01	9.20E-01	0.00E+00	1.53E-01	2.00E-01	0.00E+00	5.62E-01	2.00E-01	2.00E-01	0.00E+00	1.00E-01
V12	1.57E+01	3.20E+00	4.53E-01	1.68E+00	2.69E+00	6.16E-01	5.26E-01	3.29E+00	2.12E+00	2.95E+00	3.78E+00	1.51E+01	1.39E+01
V13	3.06E-01	9.78E-01	2.17E+00	9.47E+00	4.96E-01	9.12E-01	3.53E+00	1.02E+00	1.01E+01	2.30E+00	0.00E+00	1.06E+00	1.33E-01
V14	5.07E+01	7.34E-01	3.43E+01	2.89E+00	1.93E+00	0.00E+00	4.00E-01	1.38E+00	0.00E+00	1.83E+00	4.50E+00	5.10E+01	5.13E+01
V15	4.78E+00	2.09E+00	2.56E+00	1.44E+00	3.06E+00	7.11E+00	8.12E+00	3.68E+00	2.30E+00	5.99E+00	3.61E+00	3.07E+00	4.81E+00
V16	7.31E-01	4.01E-01	1.38E+00	1.24E+00	3.87E+00	4.07E-01	0.00E+00	1.53E+00	1.29E+00	2.88E+00	4.05E+00	7.00E-01	2.04E+00
V17	1.28E+01	2.39E+00	3.14E-01	8.79E+00	7.89E-01	3.31E+00	6.99E+00	2.10E+00	9.43E+00	6.62E+00	1.55E+00	8.42E+00	6.28E+00
V18	6.68E+00	1.13E+00	3.60E+00	8.74E+00	2.57E+00	9.21E-01	1.01E+00	1.89E+00	1.12E+01	1.53E+00	3.39E+00	4.50E+00	4.47E+00
V19	4.73E+00	2.63E+00	1.12E+00	4.82E-01	2.71E+00	3.85E+00	5.14E+00	2.99E+00	2.03E+00	3.26E+00	2.97E+00	3.39E+00	3.95E+00
V20	4.06E+01	2.74E+00	5.33E-01	1.48E+01	3.54E+00	3.00E-01	2.63E+00	2.41E+00	1.26E+01	2.27E+00	4.17E+00	3.66E+01	3.52E+01
V21	2.52E+01	4.14E+00	1.85E+00	2.60E-01	1.76E+00	0.00E+00	0.00E+00	2.98E+00	4.73E-01	1.34E+00	2.24E+00	2.41E+01	1.79E+01
V22	1.53E-01	0.00E+00	0.00E+00	8.38E+00	5.77E+00	1.51E+00	1.47E+00	1.34E+00	9.18E+00	5.87E+00	4.60E+00	4.67E-01	1.08E+00
V23	2.93E+00	6.28E+00	2.21E-01	9.36E-01	9.74E+00	9.32E-01	1.13E+00	7.67E+00	4.73E-01	6.35E+00	6.25E+00	2.60E+00	2.73E+00
V24	1.48E+00	2.18E+00	0.00E+00	9.61E+00	2.77E+00	1.00E-01	0.00E+00	6.46E+00	1.17E+01	1.58E+00	2.57E+00	0.00E+00	1.19E+00
V25	5.10E+01	2.33E-01	9.19E-01	2.39E+00	6.24E+00	1.15E+00	2.26E+00	1.94E+00	3.81E+00	7.08E+00	8.12E+00	4.77E+01	3.66E+01
V26	1.43E+00	2.70E+00	4.24E+00	9.42E+00	3.75E+00	1.58E+01	1.40E+01	1.56E+00	9.01E+00	1.01E+01	3.00E+00	1.26E+00	5.58E+00
V27	1.34E+01	9.67E-01	1.09E+00	2.71E+00	1.07E+00	5.04E+00	3.92E+00	2.39E+00	3.08E+00	1.55E+00	4.91E+00	9.97E+00	1.09E+01
V28	3.56E+00	8.02E+00	2.09E+00	3.32E+00	4.08E+00	1.21E+01	9.40E+00	7.95E+00	5.91E+00	8.70E+00	4.11E+00	4.00E+00	3.29E+00
V29	1.35E+01	4.01E+00	3.56E+00	3.69E+00	4.58E-01	9.00E-01	8.19E-01	5.28E+00	3.17E+00	7.00E-01	2.67E+00	1.22E+01	1.39E+01
V30	4.09E+01	0.00E+00	0.00E+00	2.58E-01	2.00E+00	2.00E-01	4.07E-01	9.00E-01	4.00E-01	2.15E+00	0.00E+00	3.98E+01	3.13E+01
V31	4.52E-01	8.78E+00	2.44E+00	2.30E+00	6.57E-01	2.95E+00	1.99E+00	7.88E+00	2.17E+00	2.50E+00	4.01E-01	5.17E-01	1.38E+00
V32	1.26E+01	1.06E+00	2.12E+00	1.02E+00	8.20E+00	7.23E+00	6.54E+00	4.17E+00	1.10E+00	7.10E+00	5.34E+00	1.28E+01	4.73E+00
V33	7.96E+00	3.61E+00	3.08E+00	0.00E+00	1.85E+00	2.30E+00	2.99E+00	2.52E+00	0.00E+00	1.95E+00	1.32E+00	2.54E+00	7.92E+00
V34	1.57E+01	1.92E+00	4.22E-01	7.07E+00	1.70E+00	2.11E+00	2.52E+00	1.30E+00	6.49E+00	6.05E-01	2.65E+00	1.55E+01	9.77E+00
V35	1.63E+01	5.09E+00	2.64E+00	1.55E+01	7.80E+00	1.33E-01	9.33E-01	6.21E+00	1.73E+01	1.77E+00	7.07E+00	1.47E+01	1.65E+01
V36	6.62E+00	0.00E+00	5.58E-01	2.50E+00	6.51E-01	1.00E-01	8.94E-01	0.00E+00	2.34E+00	6.67E-01	1.06E+00	6.62E+00	5.91E+00
