Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
V1	9.56E+00	2.24E+01	1.09E+01	7.22E-01	2.49E+00	2.26E+01	1.71E+00	9.20E-01	4.82E-01	5.02E+00	1.28E+01	1.39E+01	3.67E+00	1.56E+00	1.17E+00	9.24E-01
V2	9.10E+00	1.14E+01	1.31E+00	3.70E+00	3.56E+01	1.25E+01	3.29E+01	0.00E+00	2.69E-01	1.94E+01	2.01E+00	8.70E+00	8.46E+00	6.86E+00	1.37E+00	3.56E+00
V3	5.83E+01	1.14E+01	7.11E+00	1.35E+00	4.73E-01	1.94E+01	0.00E+00	4.51E+00	4.41E+00	1.11E+00	8.51E+00	8.70E+01	1.00E-01	2.76E+01	4.54E+00	1.63E+00
V4	7.95E-01	1.76E+00	2.22E+00	9.07E-01	1.31E+01	1.08E+00	1.18E+01	2.21E+00	3.03E+00	1.03E+01	2.00E+00	1.65E+00	3.13E+00	9.94E-01	3.60E+00	1.90E+00
V5	1.21E+01	0.00E+00	1.26E+00	4.16E+00	5.06E+00	1.62E+00	1.20E+00	5.00E-01	1.43E+00	3.55E+00	2.01E+00	7.74E+00	3.10E+00	1.01E+01	2.76E+00	5.92E+00
V6	1.10E+01	1.58E+00	3.60E+01	2.25E+01	6.98E+00	2.52E+00	6.37E-01	1.00E+00	1.57E+00	4.35E+00	3.76E+01	2.20E+00	4.55E+00	5.43E+00	8.11E+00	2.53E+01
V7	4.00E-01	0.00E+00	8.62E+00	2.98E+00	3.72E+00	2.00E-01	4.74E+00	2.13E-01	0.00E+00	3.68E+00	7.47E+00	1.00E-01	7.30E-01	6.70E-01	2.95E+00	2.97E+00
V8	2.21E+01	0.00E+00	8.46E-01	5.45E+00	5.57E+00	1.75E+00	5.22E+00	0.00E+00	8.60E-01	4.29E+00	0.00E+00	1.67E+00	3.80E+00	1.96E+01	2.99E+00	8.32E+00
V9	4.16E+00	6.91E+00	7.97E+00	8.88E-01	0.00E+00	8.07E+00	1.00E-01	7.52E-01	2.00E-01	2.13E-01	7.58E+00	4.26E+00	1.33E-01	4.59E+00	4.00E-01	1.02E+00
V10	2.24E-01	1.16E+00	0.00E+00	0.00E+00	1.49E+01	1.75E+00	1.44E+01	3.20E+00	3.41E+00	1.41E+01	1.00E-01	7.95E-01	4.86E+00	3.00E-01	4.69E+00	6.00E-01
