Mutation	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	1	0	30	21	36	9	2	12	1	5	10	40	3	14	3	22	4	15	79	5	6	2	17	29	16	26	26	3	25	3	3	9	5	0	1	0	20	3	6	37	1	90	3	0	2	35	23	10	14	55	50	10	5	0	0	16	7	3	46	8	0	10	8	28	12	16	1	2	18	1	1	0	16	76	29	47	1	6	4	7	3	36	7	2	24	20	22	1	7	9	5	61	42	2	8	45	6	8	8	0
1:Del:C:1	0	0	13	2	7	1	1	11	0	1	4	28	2	8	1	1	2	9	19	0	2	1	11	5	2	4	7	2	5	0	0	5	1	0	2	0	3	0	7	8	0	12	1	0	3	7	4	2	1	20	12	3	2	3	0	2	2	0	18	5	0	4	1	4	6	4	0	1	11	0	0	0	8	13	13	17	0	0	5	5	0	14	1	0	6	1	6	2	2	1	1	23	16	1	4	15	2	1	3	0
1:Del:C:2	0	0	0	0	1	0	0	2	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0
1:Del:C:3	8	0	5	3	0	0	1	8	2	15	0	3	10	5	1	0	1	4	2	14	7	0	2	4	2	8	4	1	0	1	19	21	0	2	0	1	12	2	1	14	1	15	4	0	1	1	3	5	16	6	9	6	0	10	6	2	1	0	9	1	0	2	1	0	24	23	5	0	9	9	1	24	3	5	8	0	2	21	1	3	7	4	6	9	3	1	42	2	2	4	0	5	2	2	5	2	1	0	4	0
1:Del:C:4	0	0	1	4	1	1	0	2	0	1	0	5	0	2	0	0	0	0	2	0	0	1	0	2	1	2	0	6	1	0	0	1	0	0	2	0	0	0	0	3	1	4	1	0	0	2	0	0	0	1	1	1	0	0	0	1	0	0	2	0	0	2	0	1	1	1	0	0	0	0	0	0	1	0	1	3	0	1	0	0	0	1	0	1	2	0	3	1	0	0	0	3	1	0	2	3	0	1	2	0
1:Del:C:5	0	0	0	0	0	2	3	3	0	1	0	0	2	0	0	0	3	2	1	0	1	0	3	0	0	0	0	5	0	0	0	0	1	1	1	0	0	2	2	2	4	0	4	0	1	0	2	1	2	2	0	0	0	1	1	0	2	0	0	0	1	0	2	0	0	9	3	0	0	0	0	0	0	0	0	0	2	3	1	2	3	2	0	1	2	0	0	4	0	1	1	0	0	3	1	1	0	0	1	0
1:Del:T:0	0	1	12	4	6	0	3	6	1	6	7	35	2	14	8	15	2	16	13	1	2	1	10	17	4	1	6	3	4	0	0	9	1	0	1	0	10	4	5	23	0	6	3	0	2	12	1	4	3	30	15	4	1	2	2	4	6	0	19	5	0	12	6	9	3	23	0	1	6	0	1	2	12	23	30	6	1	7	3	10	0	23	9	9	14	3	16	2	7	5	1	23	23	0	5	2	2	11	1	1
1:Del:T:1	4	1	0	9	4	2	1	7	13	1	3	4	28	1	4	6	2	2	7	7	2	7	5	17	2	24	32	1	2	4	1	4	4	1	0	6	8	0	6	15	8	4	10	4	17	3	7	2	0	11	6	34	1	0	0	2	0	2	10	6	5	3	8	7	1	4	1	1	0	0	6	7	0	5	3	13	0	3	3	2	24	2	2	23	4	5	3	4	5	3	1	9	8	1	13	7	9	9	10	2
1:Del:T:2	0	1	8	7	6	1	3	3	0	1	2	45	0	11	2	9	0	6	7	0	3	0	7	5	3	10	9	3	1	0	0	8	0	0	0	0	3	4	3	8	0	13	0	0	0	5	6	1	4	24	7	6	0	0	0	1	1	0	5	4	0	1	1	9	2	1	0	1	4	0	1	1	3	8	10	9	2	4	2	5	2	11	0	4	10	1	14	1	1	1	0	22	25	1	1	13	0	1	2	0
1:Del:T:3	0	1	12	3	6	3	3	1	1	4	3	47	4	11	3	16	5	10	22	3	7	0	8	6	17	8	5	10	3	0	1	6	2	0	4	1	6	5	8	31	3	11	2	0	3	5	8	2	2	30	11	12	1	1	0	9	1	2	7	13	0	6	5	17	5	7	4	1	13	0	0	1	4	33	4	10	2	5	3	1	4	5	0	2	13	7	9	5	1	2	2	25	17	2	5	14	3	0	8	0
1:Del:T:4	1	2	4	6	7	7	5	3	0	3	10	18	15	1	2	2	1	10	33	1	2	1	6	8	5	9	20	24	4	0	1	4	1	0	5	1	8	7	14	27	10	5	6	0	6	13	18	3	2	15	22	5	2	0	1	3	2	0	11	2	0	5	0	14	2	16	1	3	14	0	0	1	4	19	7	7	0	5	0	4	5	17	1	4	18	5	9	15	2	1	0	49	15	4	8	18	4	3	6	0
