Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	43	0	97	1068	42	240	0	479	253	0	0	127	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	0	35	22	9	10	26	30	40	12	15	6	28	1
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	58	216	0	10	33	11	81	37	37	24	39	30	0
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	268	308	90	424	33	0	119	0	164	54	45	0	1
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	35	52	0	0	4	114	79	0	51	27	8	3	2
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	141	134	0	10	54	111	78	0	5	3	0	4	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	344	0	11	35	9	61	7	31	12	32	17	0
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	88	321	0	3	25	168	10	130	31	1	63	16	27
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	71	77	58	8	123	0	0	47	59	51	60	41	22
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	77	91	119	28	62	12	120	35	9	39	0	58	61
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	103	331	64	14	23	0	109	41	0	25	24	65	12
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	522	285	33	16	249	0	58	18	80	13	54	101	9
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	76	114	10	19	35	0	66	119	63	3	0	138	1
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	3	111	0	17	31	0	55	23	47	37	10	29	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	28	97	86	22	19	0	116	48	42	14	0	57	5
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	27	79	0	6	9	0	55	1	72	14	22	0	18
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	62	56	0	629	98	0	0	101	134	28	61	0	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	17	167	2	0	52	102	51	56	28	18	36	36	10
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	109	190	2	21	21	65	36	18	128	5	31	15	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	65	119	0	14	32	38	0	46	30	13	24	0	6
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	140	241	0	0	30	0	0	85	22	8	88	16	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	103	136	91	15	64	146	90	92	0	20	0	0	9
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	32	61	0	8	27	17	50	9	66	36	0	3	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	413	406	0	15	66	72	92	218	72	22	99	0	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	19	149	57	14	21	107	60	0	7	19	0	0	49
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	343	222	0	0	66	319	44	202	40	47	20	0	0
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	18	242	0	5	63	68	84	2	18	8	0	34	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	149	156	0	7	53	67	0	0	27	11	42	41	27
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	80	124	0	9	33	0	79	32	54	13	0	16	15
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	51	22	16	7	19	63	23	0	41	32	33	14	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	12	128	26	424	8	43	75	11	18	93	0	27	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	0	0	21	3	7	20	8	39	5	33	53	19	1
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	0	11	33	4	7	66	62	2	14	15	0	0	3
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	284	244	0	9	47	44	157	8	0	4	0	47	0
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	3	99	48	12	21	0	184	0	5	16	0	14	1
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	161	236	0	0	45	36	65	16	44	36	0	21	0
