Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	3.18E+00	1.17E+00	2.95E+00	4.00E-01	1.81E+00	1.07E+01	8.82E+00	5.67E-01	6.05E-01	1.93E+00	7.89E+00	7.27E-01	3.58E+00	6.00E-01
V2	3.72E+00	1.00E+00	9.32E-01	1.29E+00	0.00E+00	2.38E+00	8.03E-01	9.00E-01	5.63E-01	5.59E-01	8.88E-01	4.99E-01	3.38E+00	1.04E+00
V3	1.48E+00	1.46E+00	4.79E+00	1.30E+00	9.83E-01	1.31E+00	9.69E-01	1.74E+00	1.65E+00	4.00E+00	1.49E+00	1.05E+00	1.13E+00	1.40E+00
V4	1.07E+00	8.49E-01	5.26E-01	8.25E+00	3.35E+00	5.56E+00	4.76E+00	3.62E+00	4.32E+00	6.16E+00	6.30E+00	4.29E+00	1.94E+00	4.55E+00
V5	1.79E+01	3.57E+00	0.00E+00	9.73E+00	6.34E+00	2.73E+00	9.52E-01	6.47E+00	7.73E+00	7.34E+00	2.17E+00	5.77E+00	2.41E+01	7.12E+00
V6	1.25E+01	0.00E+00	1.79E+00	0.00E+00	1.30E+00	2.18E+00	2.06E+00	1.90E+00	5.78E-01	2.00E+00	4.05E+00	1.87E+00	1.24E+01	7.00E-01
V7	8.04E+00	3.04E+00	1.59E+01	3.32E+00	6.18E-01	7.05E+00	4.10E+00	1.41E+00	2.13E-01	1.44E+01	9.53E+00	1.84E+00	9.07E+00	4.45E+00
V8	3.82E+00	3.68E+00	4.33E+00	1.85E+00	1.09E+00	7.59E+00	1.99E+00	6.40E-01	2.12E+00	3.13E+00	5.62E+00	1.45E+00	8.06E+00	4.69E+00
V9	2.49E+01	3.32E+00	1.26E+00	3.36E+00	1.02E+01	5.29E+00	3.38E+00	9.04E+00	1.86E+00	2.88E+00	4.10E+00	3.31E+00	2.43E+01	5.14E+00
V10	1.80E+00	2.50E+00	1.99E+00	2.63E+00	9.78E-01	7.00E+00	3.51E+00	1.34E+00	3.14E+00	3.53E+00	5.42E+00	2.34E+00	2.75E+00	2.89E+00
V11	4.08E+00	0.00E+00	8.35E+00	2.21E-01	0.00E+00	1.90E+00	1.91E+00	1.88E+00	4.82E-01	8.73E+00	3.25E+00	4.58E-01	4.14E+00	6.11E-01
V12	3.36E+00	8.54E+00	1.67E+00	5.11E+00	0.00E+00	8.57E+00	4.21E+00	0.00E+00	2.79E+00	1.83E+00	8.75E+00	2.45E+00	3.01E+00	1.17E+01
V13	1.14E+00	1.07E+00	1.69E+00	6.17E+00	7.31E-01	5.58E+00	6.14E+00	2.45E+00	5.53E+00	4.19E+00	7.90E+00	6.11E-01	2.00E-01	3.69E+00
V14	1.14E+00	9.12E-01	4.33E-01	2.77E+01	1.80E+00	3.80E+00	2.33E+00	1.75E+00	1.85E+01	1.91E+01	5.82E+00	1.39E+01	0.00E+00	2.31E+01
V15	1.48E+01	7.15E-01	3.83E+00	2.67E-01	8.98E-01	0.00E+00	0.00E+00	6.18E-01	3.14E-01	3.29E+00	5.00E-01	1.55E+00	1.62E+01	0.00E+00
V16	2.36E+01	3.40E-01	0.00E+00	1.33E+00	2.65E+00	0.00E+00	4.67E-01	1.96E+00	7.06E-01	7.00E-01	0.00E+00	4.30E+00	2.74E+01	1.51E+00
V17	3.06E-01	0.00E+00	6.97E+00	0.00E+00	4.55E+00	0.00E+00	0.00E+00	3.72E+00	0.00E+00	7.52E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
V18	0.00E+00	8.79E-01	9.57E+00	7.78E-01	4.84E+00	8.03E-01	1.41E+00	4.70E+00	0.00E+00	9.03E+00	8.84E-01	0.00E+00	0.00E+00	0.00E+00
V19	9.12E-01	9.34E-01	3.13E+00	1.11E+00	3.29E+00	4.66E+00	2.53E+00	2.64E+00	2.00E-01	1.73E+00	5.79E+00	7.77E-01	4.30E+00	1.03E+00
V20	1.68E+00	1.59E+00	2.11E+00	1.83E+01	7.80E+00	9.55E-01	9.75E-01	8.22E+00	5.30E+00	1.13E+01	8.14E+00	4.92E+00	1.48E+00	1.89E+01
V21	6.95E+00	1.76E+01	1.84E+00	4.08E+00	0.00E+00	2.97E+00	2.00E+00	1.29E+00	5.54E+00	2.17E+00	5.21E+00	6.50E+00	7.08E+00	2.23E+01
V22	2.13E-01	6.51E+00	5.47E-01	1.02E+00	0.00E+00	7.22E-01	7.95E-01	4.00E-01	8.67E-01	6.19E-01	4.00E-01	1.30E+00	0.00E+00	7.51E+00
V23	1.29E+01	3.98E+00	3.14E-01	2.38E+00	1.05E+00	4.78E+00	4.01E+00	1.61E+00	1.44E+00	2.10E+00	3.73E+00	8.70E-01	1.64E+01	4.92E+00
V24	5.16E+00	1.55E+00	2.15E+00	3.25E+00	8.17E-01	7.10E+00	3.14E+00	2.40E+00	1.29E+00	1.79E+00	2.89E+00	3.81E+00	5.62E+00	1.47E+00
V25	2.93E+00	0.00E+00	5.30E+00	2.00E-01	6.36E-01	0.00E+00	0.00E+00	5.04E-01	0.00E+00	4.05E+00	0.00E+00	0.00E+00	3.67E+00	3.00E-01
V26	3.36E+01	1.28E+00	9.12E-01	7.54E+00	1.93E+00	5.69E+00	1.83E+00	2.54E+00	4.86E+00	7.29E+00	3.13E+00	6.27E+00	3.73E+01	8.62E+00
V27	1.29E+00	2.60E-01	8.93E+00	0.00E+00	5.57E+00	0.00E+00	0.00E+00	4.80E+00	0.00E+00	8.19E+00	2.91E-01	1.00E-01	8.17E-01	0.00E+00
V28	2.07E+00	3.76E+00	1.80E+01	4.52E+00	4.76E+00	5.47E-01	0.00E+00	2.59E+00	3.35E+00	1.74E+01	1.48E+00	1.28E+00	2.38E+00	4.65E+00
V29	7.95E-01	8.60E-01	0.00E+00	3.67E-01	8.27E-01	0.00E+00	0.00E+00	8.43E-01	0.00E+00	0.00E+00	0.00E+00	2.13E-01	7.06E-01	8.97E-01
V30	3.89E-01	5.00E+00	1.31E+00	2.21E-01	1.50E+01	3.48E-01	0.00E+00	1.48E+01	4.82E-01	7.75E-01	3.00E-01	3.89E-01	1.00E-01	4.28E+00
V31	4.51E+00	6.53E-01	4.77E-01	1.04E+01	1.89E+00	2.81E+00	1.30E+00	2.09E+00	8.10E+00	1.17E+01	2.16E+00	5.43E+00	5.31E+00	1.05E+01
V32	2.29E+00	0.00E+00	6.16E+00	0.00E+00	1.56E+00	0.00E+00	0.00E+00	1.01E+00	3.27E-01	5.85E+00	3.00E-01	2.13E-01	1.48E+00	0.00E+00
V33	4.23E-01	3.43E+00	4.07E+00	1.72E+00	0.00E+00	2.17E+00	2.57E+00	0.00E+00	7.77E-01	3.71E+00	1.10E+00	1.90E+00	1.00E+00	2.80E+00
V34	2.21E+00	1.26E+00	5.95E+00	1.20E+00	1.92E+00	4.95E+00	3.53E+00	2.01E+00	0.00E+00	5.55E+00	2.25E+00	2.87E+00	4.80E+00	2.23E+00
V35	2.01E+00	8.46E-01	4.84E+00	0.00E+00	9.19E-01	0.00E+00	6.71E-01	1.37E+00	0.00E+00	3.57E+00	1.69E+00	2.67E-01	2.14E+00	6.29E-01
