Samples	ID1	ID2	ID8	ID9	ID83E	ID83F
V1	0	33	0	0	25	211
V2	9	0	20	27	14	0
V3	10	0	25	86	13	0
V4	45	0	286	0	38	0
V5	0	164	0	142	43	0
V6	27	0	0	0	41	165
V7	110	0	113	0	0	242
V8	150	0	0	46	0	0
V9	33	67	70	42	13	0
V10	0	80	0	170	216	422
V11	218	30	0	0	0	0
V12	202	0	62	0	102	0
V13	98	20	27	0	0	0
V14	0	41	38	56	0	0
V15	0	77	0	0	31	22
V16	0	20	181	0	0	0
V17	0	0	0	0	176	0
V18	50	0	0	71	63	0
V19	108	0	0	92	0	0
V20	182	43	96	70	39	0
V21	0	45	46	83	37	27
V22	0	408	152	0	0	0
V23	0	146	93	60	48	114
V24	0	66	295	66	0	0
V25	0	0	248	0	0	0
V26	0	145	0	0	36	0
V27	0	0	208	0	103	40
V28	42	0	0	0	39	194
V29	147	0	0	0	0	0
V30	118	0	0	0	0	43
V31	24	0	0	107	21	0
V32	26	22	0	0	73	23
V33	25	0	36	0	25	0
V34	0	165	0	0	73	154
V35	176	0	0	0	0	153
V36	103	0	368	98	0	0
V37	40	117	0	74	48	0
V38	72	0	0	0	0	118
V39	0	38	64	52	78	33
V40	580	0	0	0	0	139
V41	9	0	42	47	0	0
V42	172	49	0	0	239	0
V43	0	0	557	0	0	0
V44	0	153	0	0	28	0
V45	68	0	330	0	0	0
V46	0	0	0	287	0	217
V47	110	0	0	0	14	35
V48	0	0	70	148	0	0
V49	44	15	42	0	56	23
V50	0	58	0	337	169	0
V51	0	273	0	0	0	135
V52	0	154	0	0	60	0
V53	0	74	0	0	218	57
V54	0	230	0	0	0	200
V55	60	125	0	0	16	0
V56	0	0	58	0	0	97
V57	12	0	64	21	43	0
V58	6	22	0	23	5	30
V59	171	169	0	115	74	0
V60	0	14	0	90	20	0
V61	454	66	0	0	0	0
V62	0	31	84	0	248	0
V63	0	72	0	0	0	82
V64	0	4	0	15	5	0
V65	0	56	0	0	94	66
V66	62	26	0	127	24	0
V67	0	37	171	0	58	0
V68	408	235	303	0	0	105
V69	86	0	154	0	28	63
V70	20	26	70	0	0	32
V71	0	0	21	27	0	24
V72	260	0	0	64	0	0
V73	30	15	0	0	0	0
V74	39	0	0	126	0	161
V75	146	0	178	0	0	0
V76	34	0	192	0	120	0
V77	0	146	0	0	0	0
V78	0	39	0	94	31	0
V79	0	0	0	30	9	22
V80	41	13	0	0	0	15
V81	131	0	0	0	22	41
V82	0	0	82	0	51	26
V83	38	206	0	0	0	0
V84	88	0	249	0	38	0
V85	7	0	16	0	8	0
V86	0	0	0	0	872	0
V87	0	0	0	544	0	0
V88	44	31	0	0	51	46
V89	15	0	43	35	36	0
V90	0	0	18	86	0	0
V91	0	37	44	0	19	12
V92	72	0	0	72	285	0
V93	0	0	0	0	0	370
V94	0	309	0	0	114	0
V95	53	0	22	52	0	0
V96	150	56	0	0	0	93
V97	0	22	0	0	130	0
V98	0	111	47	41	22	0
V99	73	55	0	61	241	0
V100	0	152	0	133	0	55
