Samples	ID1	ID2	ID8	ID9	ID14	ID83F	ID83G
V1	45	0	0	0	63	61	53
V2	65	0	0	0	65	0	66
V3	0	0	0	99	0	85	0
V4	594	77	0	0	126	0	0
V5	35	17	72	80	0	0	0
V6	0	40	101	0	43	64	0
V7	0	17	99	0	0	0	0
V8	0	0	301	0	0	0	119
V9	0	0	0	0	217	0	0
V10	132	31	0	0	0	58	56
V11	42	61	147	0	0	98	0
V12	0	90	113	199	0	0	0
V13	0	0	0	0	199	146	170
V14	189	0	0	63	0	0	0
V15	0	17	0	0	95	39	31
V16	0	0	0	46	114	0	59
V17	48	25	94	0	0	0	0
V18	40	39	306	0	0	71	0
V19	20	89	0	210	0	0	0
V20	0	44	0	0	46	89	36
V21	50	18	112	0	0	78	0
V22	54	0	66	0	54	0	0
V23	97	23	0	74	0	0	0
V24	0	0	0	77	60	30	85
V25	0	0	0	49	29	32	22
V26	30	0	0	68	63	79	61
V27	136	0	0	0	411	0	356
V28	0	482	0	0	0	0	0
V29	83	0	0	63	0	0	0
V30	0	0	0	0	130	0	45
V31	0	0	0	0	0	117	0
V32	48	53	113	0	0	334	0
V33	0	23	69	0	32	0	27
V34	8	13	0	0	40	0	25
V35	13	109	0	0	0	0	0
V36	18	0	0	0	76	24	71
V37	70	0	162	0	66	97	0
V38	67	75	0	0	0	0	0
V39	138	199	98	0	0	0	0
V40	0	174	0	119	43	98	52
V41	155	62	0	0	89	0	53
V42	0	0	72	178	0	39	0
V43	105	111	0	0	181	83	55
V44	0	0	0	0	22	7	13
V45	0	0	0	0	275	0	70
V46	14	0	0	109	0	0	0
V47	0	100	0	55	52	30	32
V48	0	141	117	0	0	0	0
V49	172	0	0	0	0	52	0
V50	91	35	0	191	0	146	0
V51	0	0	0	139	53	0	69
V52	0	0	0	0	151	0	202
V53	0	35	0	14	0	0	0
V54	28	37	0	0	0	52	0
V55	142	0	0	0	0	87	0
V56	0	24	0	51	0	19	10
V57	368	88	0	0	0	0	0
V58	0	0	0	0	68	0	0
V59	0	19	157	114	0	0	0
V60	320	50	0	0	0	0	0
V61	34	25	0	0	85	20	15
V62	79	0	210	0	0	0	0
V63	91	80	0	0	87	0	60
V64	93	203	0	83	0	0	0
V65	51	0	0	0	0	165	61
V66	0	243	177	0	0	185	0
V67	91	54	0	0	0	123	0
V68	0	14	54	0	0	0	16
V69	62	29	0	73	0	32	0
V70	0	0	0	0	0	171	0
V71	0	0	64	0	37	0	0
V72	0	0	108	0	88	233	0
V73	21	0	217	0	0	0	0
V74	134	90	0	166	273	0	267
V75	76	0	0	96	0	108	0
V76	0	0	0	104	78	0	85
V77	19	50	0	0	0	0	0
V78	0	0	0	0	71	109	71
V79	0	0	313	0	0	0	0
V80	0	35	197	0	0	0	0
V81	75	88	0	0	79	0	57
V82	314	54	317	0	0	0	0
V83	0	0	0	0	0	112	34
V84	0	128	0	0	285	0	121
V85	39	229	0	78	0	79	0
V86	8	0	0	50	0	37	14
V87	0	108	0	86	0	202	0
V88	0	214	0	0	57	0	63
V89	103	0	0	0	0	68	0
V90	0	0	82	0	34	0	24
V91	0	0	86	0	0	31	0
V92	0	0	0	200	184	0	80
V93	0	0	0	129	87	107	61
V94	0	110	0	0	0	25	0
V95	252	73	0	0	263	0	87
V96	0	30	0	106	133	0	43
V97	25	0	0	0	58	0	78
V98	61	0	74	0	31	0	0
V99	0	168	0	0	141	84	0
V100	0	0	0	0	23	14	21
