Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	8.23E-01	5.47E+00	2.76E+00	4.45E+00	3.18E+00	4.75E+00	8.90E+00	1.05E+01	4.00E-01	2.80E+00	3.36E+00	3.26E+00	2.35E+00	1.96E+00	2.13E+00	3.08E+00	1.39E+00	7.48E+00	9.36E-01
V2	1.28E+00	3.59E+00	9.64E-01	0.00E+00	1.52E+00	2.24E-01	4.99E-01	2.09E+00	2.38E+00	2.47E+00	4.73E-01	4.22E-01	5.59E-01	4.00E-01	6.00E-01	0.00E+00	1.31E+00	2.76E+00	5.97E-01
V3	2.84E+01	3.98E+00	1.30E+00	8.14E-01	1.21E+00	3.27E-01	0.00E+00	1.10E+00	2.53E+00	3.32E+00	1.74E+00	8.79E-01	1.11E+00	2.80E+00	7.27E-01	1.00E+00	2.85E+01	4.32E+00	1.19E+00
V4	2.67E-01	2.88E+00	6.86E-01	5.26E-01	1.68E+00	8.05E+00	1.37E+01	1.51E+01	1.38E+01	9.70E+00	1.39E+00	1.35E+00	1.09E+00	8.40E+00	1.28E+00	1.83E+00	9.00E-01	3.40E+00	7.18E-01
V5	2.08E+00	5.23E+00	8.59E-01	3.48E-01	7.22E-01	1.22E+00	2.24E+00	5.14E+00	5.12E+00	9.85E+00	6.10E+00	1.48E+00	1.28E+00	2.15E+00	1.52E+00	8.83E-01	2.15E+00	7.51E+00	2.64E+00
V6	2.49E+00	8.06E-01	3.15E+00	3.87E+00	2.20E+00	0.00E+00	0.00E+00	6.86E+00	5.79E+00	4.70E+00	7.27E+00	1.23E+00	1.87E+00	4.61E+00	2.22E+00	5.28E+00	3.24E+00	0.00E+00	0.00E+00
V7	3.96E+00	1.65E+00	2.00E+00	1.62E+00	4.99E-01	2.13E-01	0.00E+00	2.59E+00	3.56E+00	5.69E+00	2.05E+00	7.92E-01	1.34E+00	1.47E+00	2.13E-01	2.28E+00	3.26E+00	2.12E+00	4.90E-01
V8	3.94E+00	2.04E+00	4.03E+00	4.59E+00	5.00E+00	5.33E-01	1.42E+00	5.38E+00	0.00E+00	2.48E+00	3.27E-01	5.57E+00	5.90E+00	6.05E-01	4.42E+00	4.34E+00	1.20E+00	3.55E+00	3.48E-01
V9	1.46E+01	9.04E+00	2.10E+01	1.14E+01	6.74E+00	3.00E-01	0.00E+00	5.61E+00	1.05E+00	1.13E+00	7.22E-01	3.59E+00	1.45E+00	1.17E+00	1.41E+00	2.17E+00	3.99E+01	3.48E+01	6.83E-01
V10	2.43E+01	1.44E+00	4.58E+00	2.25E+00	2.39E+00	2.77E-01	4.58E-01	9.00E-01	3.79E-01	4.00E-01	1.00E-01	2.16E+00	6.74E-01	0.00E+00	9.12E-01	1.76E+00	2.68E+01	8.78E+00	1.05E+00
V11	3.92E+00	5.54E-01	1.24E+00	9.57E-01	1.29E+00	2.43E+00	4.74E+00	4.16E+00	1.39E+00	1.97E+00	6.05E-01	1.34E+00	8.95E-01	2.91E-01	1.19E+00	0.00E+00	3.21E+00	6.05E-01	1.39E+00
V12	2.77E-01	3.90E+00	5.93E-01	4.73E-01	1.93E+00	1.96E+00	3.22E+00	3.43E+00	0.00E+00	1.00E-01	0.00E+00	5.78E-01	4.23E-01	0.00E+00	3.35E-01	1.27E+00	2.07E+00	3.35E+00	4.82E-01
V13	1.21E+00	3.26E+00	6.53E-01	5.33E-01	1.10E+00	1.06E+00	1.80E+00	2.32E+00	3.61E+00	4.98E+00	3.55E+00	4.47E-01	7.06E-01	7.75E-01	7.18E-01	7.90E-01	6.67E-01	5.04E+00	4.94E-01
V14	8.33E-01	2.71E+00	2.60E-01	0.00E+00	0.00E+00	2.29E+00	2.19E+00	3.83E+00	3.33E-01	2.13E-01	0.00E+00	1.34E+00	1.65E+00	0.00E+00	0.00E+00	3.00E-01	8.00E-01	2.86E+00	0.00E+00
V15	7.37E-01	2.11E+00	4.31E+00	2.20E+00	1.16E+00	0.00E+00	4.07E-01	1.48E+00	6.30E+00	8.15E+00	3.24E+00	8.97E-01	1.00E-01	2.57E+00	7.22E-01	8.97E-01	1.76E+00	7.30E-01	1.00E-01
V16	4.29E+00	0.00E+00	3.73E-01	4.16E-01	7.33E-01	1.32E+00	2.16E+00	2.62E+00	4.82E-01	3.67E-01	5.12E-01	0.00E+00	0.00E+00	0.00E+00	5.59E-01	0.00E+00	4.45E+00	0.00E+00	1.01E+00
V17	2.68E+00	5.72E+00	4.06E+00	2.28E+00	9.98E-01	6.15E-01	0.00E+00	5.03E+00	0.00E+00	2.00E-01	5.16E-01	2.90E+00	2.77E+00	0.00E+00	3.06E-01	2.02E+00	3.70E+00	6.38E+00	1.59E+00
V18	6.05E+00	2.21E-01	6.36E-01	1.53E-01	1.55E+00	3.48E-01	5.16E-01	9.94E-01	2.44E+00	4.33E+00	2.93E+00	2.01E+00	7.31E-01	2.90E+00	3.59E-01	2.05E+00	7.98E+00	3.59E+00	5.97E-01
V19	8.43E+00	3.12E+00	9.86E+00	5.24E+00	2.96E+00	5.21E-01	6.83E-01	1.21E+00	1.44E+00	2.89E+00	1.26E+00	2.05E+00	1.93E+00	0.00E+00	7.75E-01	1.59E+00	1.80E+01	1.71E+01	2.00E-01
V20	1.00E+00	3.05E+00	2.04E+00	4.99E-01	3.31E+00	1.96E+00	2.37E+00	2.70E+00	1.71E+01	2.80E+01	1.36E+01	1.57E+00	1.10E+00	1.12E+01	2.78E+00	4.44E+00	6.29E-01	3.76E+00	2.00E-01
V21	3.14E+00	3.87E+00	5.26E-01	4.27E-01	1.16E+00	5.79E+00	6.33E+00	8.34E+00	1.75E+00	1.87E+00	1.79E+00	1.84E+00	4.55E+00	6.63E-01	1.37E+00	2.01E+00	3.96E+00	4.31E+00	8.23E-01
V22	5.73E-01	7.00E-01	8.70E-01	1.01E+00	2.69E-01	6.52E+00	5.47E+00	6.75E+00	0.00E+00	0.00E+00	0.00E+00	3.48E-01	9.80E-01	1.06E+00	0.00E+00	1.10E+00	1.06E+00	3.00E-01	3.00E-01
V23	1.12E+00	2.41E+00	1.05E+00	6.18E-01	1.02E+01	1.25E+00	7.63E-01	2.06E+00	3.10E+00	6.75E+00	3.15E+00	7.08E+00	5.12E+00	2.31E+00	4.84E+00	5.57E+00	5.47E-01	1.45E+01	0.00E+00
V24	5.97E-01	3.02E+00	2.38E+00	1.49E+00	1.35E+00	1.20E+00	1.41E+00	8.53E+00	5.94E+00	9.65E+00	2.87E+00	1.18E+00	7.33E-01	1.21E+00	1.46E+00	1.69E+00	2.91E+00	6.66E+00	7.49E-01
V25	0.00E+00	0.00E+00	1.61E+00	1.45E+00	0.00E+00	1.69E+00	1.79E+00	1.65E+00	5.43E-01	1.29E+00	1.08E+00	0.00E+00	0.00E+00	3.06E-01	3.33E-01	1.00E-01	0.00E+00	0.00E+00	4.07E-01
V26	6.89E+00	2.12E+00	2.39E+00	1.38E+00	7.92E-01	2.19E+00	1.81E+00	2.63E+00	1.22E+00	1.25E+00	1.27E+00	1.20E+00	3.12E+00	0.00E+00	2.00E-01	2.21E+00	7.75E+00	2.39E+00	1.92E+00
V27	7.16E-01	0.00E+00	3.59E-01	3.48E-01	7.61E-01	7.71E+00	1.01E+01	1.26E+01	0.00E+00	1.00E-01	4.96E-01	0.00E+00	0.00E+00	0.00E+00	3.33E-01	0.00E+00	7.00E-01	5.00E-01	6.05E-01
V28	0.00E+00	1.06E+00	1.25E+00	1.41E+00	3.48E+00	1.12E+00	1.15E+00	1.19E+00	9.68E-01	6.00E-01	1.30E+00	2.77E+00	5.62E-01	3.00E-01	5.93E-01	8.54E-01	0.00E+00	2.39E+00	3.96E-01
V29	0.00E+00	1.43E+00	0.00E+00	2.67E-01	1.58E+00	6.20E+00	6.87E+00	1.14E+01	0.00E+00	1.00E-01	6.00E-01	1.67E+00	9.98E-01	1.53E-01	1.46E+00	2.06E+00	0.00E+00	1.27E+00	0.00E+00
V30	1.88E+00	6.98E+00	1.13E+00	4.00E-01	7.20E+00	3.00E+00	5.34E+00	5.32E+00	7.19E-01	1.90E+00	1.58E+00	5.89E+00	3.28E+00	1.10E+00	1.55E+00	4.14E+00	3.60E+00	7.72E+00	8.46E-01
