Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	104	0.946	47.197	45.382%	11.84	34.556%	0.26749	0.941
V2	326	0.999	58.695	18.005%	15.226	7.817%	0.08516	0.999
V3	237	0.959	93.077	39.273%	23.874	32.206%	0.18824	0.954
V4	177	0.981	45.174	25.522%	10.768	19.312%	0.18208	0.979
V5	443	0.999	72.861	16.447%	16.859	5.458%	0.28131	0.999
V6	140	0.998	27.692	19.78%	7.405	6.514%	0.20667	0.998
V7	434	0.998	66.087	15.227%	12.757	5.997%	0.07925	0.998
V8	164	0.983	46.456	28.327%	11.66	18.538%	0.16068	0.981
V9	484	0.998	72.346	14.948%	17.38	6.539%	0.07997	0.998
V10	292	0.999	29.383	10.063%	6.072	3.874%	0.07546	0.999
V11	236	0.993	70.88	30.034%	14.634	13.977%	0.155	0.992
V12	394	1.0	40.369	10.246%	9.098	3.529%	0.08649	1.0
V13	217	0.979	75.081	34.6%	17.999	21.598%	0.16733	0.978
V14	309	0.945	114.505	37.057%	32.546	32.935%	0.15743	0.938
V15	252	0.992	75.764	30.065%	16.901	17.189%	0.14934	0.991
V16	229	0.999	26.833	11.717%	5.591	4.405%	0.09559	0.999
V17	189	0.984	61.558	32.57%	12.836	18.666%	0.21938	0.982
V18	159	0.981	42.779	26.905%	10.136	19.686%	0.12346	0.978
V19	306	0.951	99.962	32.667%	32.767	30.951%	0.12696	0.946
V20	144	0.977	47.098	32.707%	11.54	22.597%	0.16295	0.975
V21	653	0.994	127.739	19.562%	35.283	12.807%	0.08313	0.993
V22	281	0.998	42.312	15.058%	8.412	5.93%	0.09905	0.998
V23	619	0.946	207.375	33.502%	68.576	33.678%	0.13112	0.94
V24	1071	0.995	186.982	17.459%	40.879	10.544%	0.05937	0.994
V25	520	0.997	82.852	15.933%	18.906	7.976%	0.07252	0.997
V26	712	1.0	69.849	9.81%	13.827	2.692%	0.05073	1.0
V27	351	0.992	78.122	22.257%	19.808	12.8%	0.12285	0.992
V28	280	0.971	82.726	29.545%	19.952	24.11%	0.13461	0.966
V29	372	0.997	59.31	15.944%	15.68	7.87%	0.07847	0.997
V30	340	0.996	58.263	17.136%	16.977	9.521%	0.09811	0.995
V31	131	0.995	34.336	26.211%	7.076	12.246%	0.15743	0.995
V32	332	0.95	140.593	42.347%	33.662	35.941%	0.18241	0.943
V33	68	0.985	25.411	37.369%	5.566	17.549%	0.43259	0.984
V34	99	0.997	24.706	24.956%	4.456	7.869%	0.21358	0.997
V35	204	0.998	48.059	23.558%	12.703	11.496%	0.11906	0.998
V36	159	0.944	70.986	44.645%	18.429	33.43%	0.2385	0.938
V37	200	0.996	35.387	17.694%	8.254	8.653%	0.13522	0.996
V38	268	0.999	33.692	12.572%	7.215	3.483%	0.08687	0.999
V39	569	1.0	63.868	11.225%	12.108	3.747%	0.05991	1.0
V40	467	0.959	182.807	39.145%	47.375	31.73%	0.17722	0.955
V41	171	0.997	32.525	19.02%	5.827	7.487%	0.15732	0.997
V42	221	0.993	52.819	23.9%	11.101	12.537%	0.15621	0.992
V43	329	0.997	58.475	17.774%	15.954	9.561%	0.07063	0.997
V44	397	0.993	72.772	18.33%	15.258	11.463%	0.08371	0.993
V45	526	0.997	93.416	17.76%	22.834	8.405%	0.0767	0.997
V46	381	0.999	60.761	15.948%	13.722	6.106%	0.08382	0.999
V47	451	0.999	57.765	12.808%	14.087	4.964%	0.12223	0.999
V48	206	0.984	49.76	24.155%	11.077	18.074%	0.12727	0.981
V49	249	0.961	85.06	34.161%	19.064	27.888%	0.14251	0.954
V50	492	0.999	76.826	15.615%	17.018	4.833%	0.07629	0.999
V51	152	0.952	55.02	36.197%	14.967	30.809%	0.21971	0.945
V52	105	0.997	29.125	27.738%	7.229	11.562%	0.22015	0.997
V53	319	0.988	76.656	24.03%	17.142	15.242%	0.10997	0.987
V54	170	0.982	68.754	40.444%	17.504	20.738%	0.45039	0.982
V55	474	0.999	76.514	16.142%	19.207	5.8%	0.07195	0.999
V56	412	0.954	165.715	40.222%	48.052	33.14%	0.14089	0.951
V57	340	1.0	29.648	8.72%	6.366	3.069%	0.05369	1.0
V58	411	0.988	93.931	22.854%	22.989	16.089%	0.08159	0.986
V59	117	0.991	35.386	30.244%	10.095	15.29%	0.18247	0.99
V60	180	0.995	46.542	25.857%	10.604	13.272%	0.19192	0.995
V61	118	0.995	24.356	20.641%	5.929	10.498%	0.11934	0.994
V62	329	0.999	37.694	11.457%	7.472	3.437%	0.17693	0.999
V63	231	0.978	73.124	31.655%	19.663	22.065%	0.18112	0.976
V64	296	0.99	78.429	26.496%	14.689	15.224%	0.14585	0.989
V65	267	0.994	59.672	22.349%	12.359	11.896%	0.10706	0.993
V66	201	0.993	62.06	30.876%	15.588	17.171%	0.20514	0.993
V67	371	0.999	54.055	14.57%	12.957	5.852%	0.05148	0.999
V68	136	0.997	32.068	23.579%	6.129	9.393%	0.20596	0.996
V69	196	0.998	32.584	16.624%	6.505	5.608%	0.12962	0.998
V70	639	0.999	86.062	13.468%	19.134	5.469%	0.06795	0.999
V71	119	0.985	32.587	27.384%	6.08	16.987%	0.20266	0.983
V72	131	0.989	31.4	23.969%	10.846	16.007%	0.16096	0.989
V73	230	0.996	58.479	25.426%	13.528	9.321%	0.14856	0.996
