Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	2.34E+00	3.27E+01	4.27E+00	1.34E+00	6.80E-01	1.16E+00	9.89E-01	3.50E+01	4.47E+00	3.04E+00	1.73E+00	4.84E+00	1.53E+00
V2	9.66E+00	1.12E+00	1.03E+00	5.17E-01	6.83E-01	3.00E-01	7.64E-01	1.59E+00	8.94E-01	1.03E+01	1.12E+00	1.84E+00	8.03E-01
V3	7.41E+00	5.16E+00	3.01E+00	1.91E+00	0.00E+00	1.59E+00	0.00E+00	4.72E+00	5.47E-01	5.98E+00	2.77E+00	4.16E+00	9.00E-01
V4	9.82E+00	5.00E-01	7.62E+00	4.34E+00	6.11E+00	6.45E+00	6.22E+00	3.06E-01	6.04E+00	7.29E+00	3.66E+00	7.22E+00	3.89E+00
V5	1.18E+01	9.45E-01	0.00E+00	1.22E+00	1.45E+01	2.29E+00	1.62E+01	3.00E-01	0.00E+00	1.33E+01	4.01E+00	1.78E+00	3.80E+00
V6	1.90E+00	1.34E+00	5.81E-01	2.28E+00	1.26E+01	4.91E+00	1.34E+01	1.20E+00	3.33E+00	2.07E+00	3.66E+00	7.27E-01	2.40E+00
V7	1.61E+01	2.11E+01	2.97E+00	5.17E-01	3.55E+00	4.01E-01	3.62E+00	2.35E+01	7.06E-01	4.98E+00	1.52E+00	2.59E+01	3.59E+00
V8	7.13E+00	1.54E+01	8.84E-01	0.00E+00	0.00E+00	2.88E+00	0.00E+00	1.61E+01	1.59E+00	8.28E+00	1.56E+00	1.15E+00	2.27E+00
V9	2.95E+00	7.81E-01	0.00E+00	0.00E+00	4.82E-01	3.53E+00	1.06E+00	1.26E+00	3.48E+00	3.13E+00	1.31E+00	1.01E+00	3.42E-01
V10	1.11E+01	1.94E+01	0.00E+00	3.26E+00	1.22E+01	2.89E+00	7.26E+00	2.06E+01	4.73E+00	1.36E+01	2.48E+00	4.97E+00	1.52E+01
V11	5.12E-01	1.44E+01	1.97E+00	1.55E+00	1.14E+01	4.71E+00	9.79E+00	1.22E+01	4.98E+00	3.07E-01	3.70E+00	9.48E-01	9.29E+00
V12	2.24E+01	8.82E+00	8.68E+00	1.26E+01	5.59E+00	1.73E+00	4.99E+00	6.91E+00	1.14E+01	2.59E+01	2.11E+01	1.43E+01	1.04E+01
V13	1.72E+01	5.48E+00	7.48E-01	5.81E-01	4.00E-01	5.19E+00	7.95E-01	3.69E+00	5.00E+00	1.56E+01	3.26E+00	1.05E+01	1.68E+00
V14	1.96E+00	1.11E+00	2.86E+00	5.13E+00	5.34E+00	5.97E-01	4.70E+00	5.00E-01	3.12E+00	1.80E+00	7.19E+00	3.58E+00	3.73E+00
V15	1.65E+00	1.15E+00	5.66E+00	2.36E+00	4.01E-01	1.24E+01	2.41E+00	1.54E+00	1.29E+01	2.02E+00	4.63E+00	4.12E+00	2.98E+00
V16	6.23E-01	1.24E+01	3.11E+00	3.41E+00	1.36E+01	6.05E+00	1.04E+01	9.87E+00	4.34E+00	4.01E-01	4.59E+00	4.55E+00	1.24E+01
V17	3.59E-01	6.57E+00	8.20E-01	4.36E+00	2.71E+00	1.56E+01	3.18E+00	1.24E+01	1.93E+01	2.13E-01	5.91E+00	3.00E-01	4.82E+00
V18	9.52E-01	2.97E+01	2.76E+00	1.40E+00	1.19E+01	4.10E+00	1.31E+01	2.90E+01	4.34E+00	3.47E+00	2.02E+00	3.87E+00	6.46E+00
V19	1.07E+01	1.40E+00	3.00E+00	4.99E-01	3.66E+00	5.18E+00	4.73E+00	4.01E+00	4.61E+00	1.12E+01	4.60E+00	3.14E+00	2.60E+00
V20	5.30E+00	9.97E+00	2.70E+00	8.10E+00	3.24E+01	1.07E+01	3.03E+01	7.87E+00	9.08E+00	5.19E+00	1.08E+01	3.75E+00	4.82E+01
V21	0.00E+00	4.88E+00	5.72E+00	2.29E+00	4.88E+00	2.53E+00	4.09E+00	4.08E+00	6.83E-01	0.00E+00	3.17E+00	4.98E+00	4.21E+00
V22	5.70E+00	1.65E+00	1.64E+00	4.33E-01	0.00E+00	1.77E+00	0.00E+00	1.38E+00	7.48E-01	6.25E+00	1.04E+00	1.31E+00	0.00E+00
V23	3.13E+00	5.73E+00	4.66E+00	8.23E+00	5.58E+00	1.08E+00	5.01E+00	2.36E+00	4.66E+00	3.06E+00	1.01E+01	2.65E+00	6.80E+00
