Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	386	0.999	35.05	9.08%	7.004	3.519%	0.05609	0.999
V2	333	0.999	36.297	10.9%	7.453	3.558%	0.05105	0.999
V3	180	0.998	35.125	19.514%	6.623	6.717%	0.1465	0.998
V4	32	0.975	13.912	43.475%	3.104	23.136%	0.37452	0.973
V5	340	1.0	34.169	10.05%	8.7	3.644%	0.09216	1.0
V6	662	0.999	65.968	9.965%	12.398	4.569%	0.03488	0.999
V7	275	0.993	49.131	17.866%	11.736	11.773%	0.08059	0.992
V8	606	1.0	39.998	6.6%	7.891	1.919%	0.03451	1.0
V9	275	0.999	31.358	11.403%	5.696	4.015%	0.07667	0.999
V10	207	0.993	39.844	19.248%	8.387	11.983%	0.12737	0.992
V11	38	0.995	9.622	25.321%	2.699	11.385%	0.57571	0.995
V12	184	0.999	26.874	14.605%	5.588	5.005%	0.10041	0.999
V13	169	0.999	23.333	13.807%	4.465	4.471%	0.10591	0.999
V14	855	1.0	57.442	6.718%	11.997	2.493%	0.08693	1.0
V15	269	0.996	44.278	16.46%	8.074	8.992%	0.08706	0.996
V16	62	0.979	21.702	35.003%	4.694	21.606%	0.19844	0.978
V17	329	0.998	52.642	16.001%	10.422	6.219%	0.10204	0.998
V18	215	0.999	30.551	14.21%	5.604	5.401%	0.10284	0.999
V19	208	0.994	42.422	20.395%	8.584	11.522%	0.08922	0.994
V20	528	1.0	56.218	10.647%	13.438	4.298%	0.04009	1.0
V21	245	0.999	27.334	11.157%	6.064	3.568%	0.09986	0.999
V22	159	0.994	47.733	30.021%	10.211	13.37%	0.15537	0.994
V23	180	0.992	35.324	19.624%	8.573	12.791%	0.08397	0.991
V24	132	0.995	31.987	24.233%	6.885	10.284%	0.14045	0.995
V25	542	1.0	48.658	8.977%	11.672	2.878%	0.03944	1.0
V26	709	0.998	76.904	10.847%	16.921	6.733%	0.03456	0.998
V27	228	0.997	40.295	17.673%	8.232	7.342%	0.10236	0.997
V28	332	0.995	56.128	16.906%	10.101	9.912%	0.08895	0.995
V29	241	0.999	25.028	10.385%	5.062	3.985%	0.06434	0.999
V30	338	0.999	58.947	17.44%	22.514	7.857%	1000.0	0.999
V31	287	0.999	37.481	13.06%	8.265	5.357%	0.07191	0.999
V32	337	0.995	59.508	17.658%	12.659	10.693%	0.06225	0.994
V33	165	0.996	34.925	21.167%	7.464	9.74%	0.12742	0.996
V34	250	0.999	31.013	12.405%	5.312	4.0%	0.07746	0.999
V35	481	0.999	44.548	9.262%	8.721	4.386%	0.03904	0.999
V36	87	0.996	21.611	24.84%	5.571	10.767%	0.18912	0.996
V37	114	0.992	32.576	28.575%	6.767	15.049%	0.18161	0.991
V38	248	0.997	53.352	21.513%	12.857	9.757%	0.09732	0.996
V39	331	0.997	57.195	17.279%	12.758	8.403%	0.0989	0.996
V40	196	0.999	29.199	14.897%	6.387	5.353%	0.31017	0.999
V41	713	0.997	89.984	12.62%	17.061	8.35%	0.03996	0.997
V42	363	0.999	45.276	12.473%	8.448	5.612%	0.0662	0.999
V43	154	0.999	19.222	12.482%	4.726	5.208%	0.09651	0.999
V44	137	0.996	34.033	24.842%	8.73	9.602%	0.22746	0.996
V45	596	0.999	59.259	9.943%	10.602	4.085%	0.04511	0.999
V46	471	0.999	54.103	11.487%	10.232	4.043%	0.05977	0.999
V47	189	0.995	39.18	20.73%	8.814	11.224%	0.13169	0.995
V48	270	0.995	52.336	19.384%	9.835	10.076%	0.10921	0.995
V49	245	0.998	50.729	20.706%	10.578	7.835%	0.11932	0.998
V50	681	1.0	55.107	8.092%	9.777	3.0%	0.04005	1.0
V51	155	0.996	32.338	20.863%	7.04	9.16%	0.27563	0.996
V52	297	0.991	56.008	18.858%	12.595	13.927%	0.08477	0.99
V53	468	0.997	66.062	14.116%	13.587	8.872%	0.05459	0.997
V54	20	0.925	10.334	51.67%	2.987	37.935%	0.35468	0.919
V55	107	0.986	35.579	33.251%	6.932	21.302%	0.21908	0.986
V56	92	0.994	21.293	23.145%	4.632	11.501%	0.19478	0.993
V57	485	0.999	47.554	9.805%	9.325	3.221%	0.04319	0.999
V58	308	0.998	49.75	16.153%	10.397	7.21%	0.06918	0.998
V59	299	0.998	39.558	13.23%	7.621	5.961%	0.07814	0.998
V60	281	0.995	53.98	19.21%	10.452	10.563%	0.09222	0.994
V61	100	0.995	30.499	30.499%	6.183	11.723%	0.26194	0.995
V62	578	0.998	57.998	10.034%	15.233	6.393%	0.03869	0.998
V63	293	0.997	44.277	15.112%	9.372	7.861%	0.07975	0.997
V64	175	0.999	21.061	12.035%	4.082	5.28%	0.11341	0.999
V65	100	0.994	22.656	22.656%	4.794	11.331%	0.17493	0.994
V66	462	0.998	53.675	11.618%	9.563	5.83%	0.04801	0.998
V67	117	0.986	29.536	25.244%	6.832	16.565%	0.15041	0.985
V68	415	0.997	56.92	13.716%	10.815	8.28%	0.05696	0.996
V69	578	0.999	60.449	10.458%	11.343	4.854%	0.04721	0.999
V70	51	0.974	20.324	39.851%	4.237	24.182%	0.26609	0.972
V71	88	0.997	19.959	22.681%	3.936	8.172%	0.16897	0.997
V72	55	0.992	15.787	28.704%	4.63	17.339%	0.19407	0.991
V73	227	0.999	32.142	14.159%	6.749	5.822%	0.07682	0.999
V74	389	0.999	43.932	11.294%	9.018	4.716%	0.06058	0.999
V75	642	0.998	79.755	12.423%	14.611	7.176%	0.04843	0.997
V76	279	0.998	36.145	12.955%	6.188	6.281%	0.0661	0.998
V77	517	1.0	32.076	6.204%	9.228	2.32%	0.02631	1.0
V78	287	1.0	28.301	9.861%	6.734	3.196%	0.05668	1.0
V79	553	1.0	51.674	9.344%	9.01	3.051%	0.05176	1.0
V80	413	0.997	53.875	13.045%	10.362	7.14%	0.05729	0.997
V81	33	0.987	11.704	35.467%	2.912	16.841%	0.37638	0.987
V82	69	0.996	16.368	23.722%	3.579	9.165%	0.24628	0.996
V83	216	0.999	22.426	10.382%	4.948	3.995%	0.08092	0.999
V84	66	0.973	28.624	43.37%	6.53	23.594%	0.27873	0.971
V85	225	0.998	24.638	10.95%	6.214	5.831%	0.06982	0.998
V86	156	0.993	32.053	20.547%	7.458	11.852%	0.11908	0.993
V87	161	0.999	18.303	11.368%	4.737	5.376%	0.12162	0.999
V88	128	0.996	25.637	20.029%	5.649	8.993%	0.14477	0.996
V89	347	0.999	50.903	14.669%	15.703	7.148%	0.3944	0.999
V90	84	0.986	31.096	37.019%	7.215	19.106%	0.22514	0.985
V91	316	0.998	41.733	13.207%	8.454	6.664%	0.06139	0.998
V92	428	1.0	40.48	9.458%	8.313	2.875%	0.04574	1.0
V93	79	0.976	24.995	31.639%	6.678	21.678%	0.2437	0.974
V94	369	0.99	73.76	19.989%	15.124	14.371%	0.06739	0.988
V95	140	0.971	39.727	28.376%	9.211	24.813%	0.14283	0.965
V96	203	0.997	34.163	16.829%	8.275	7.843%	0.17796	0.997
V97	723	1.0	54.391	7.523%	11.03	2.463%	0.03292	1.0
V98	428	0.999	37.952	8.867%	8.485	3.612%	0.04729	0.999
V99	199	0.998	26.961	13.548%	7.663	8.266%	0.06211	0.998
