Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	280	0.99	57.615	20.577%	13.443	14.18%	0.12141	0.989
V2	238	0.994	47.989	20.163%	9.726	11.001%	0.10451	0.993
V3	106	0.975	53.73	50.689%	12.152	31.169%	0.48697	0.974
V4	424	0.991	83.871	19.781%	16.188	14.137%	0.07805	0.99
V5	136	0.987	41.817	30.748%	8.049	17.918%	0.29705	0.986
V6	155	0.988	32.745	21.126%	9.022	16.636%	0.33746	0.986
V7	210	0.992	63.054	30.026%	14.421	16.555%	0.1915	0.991
V8	237	0.99	117.023	49.377%	47.779	31.384%	0.74459	0.991
V9	220	0.987	56.921	25.873%	11.382	17.567%	0.14705	0.985
V10	337	0.971	142.937	42.415%	31.081	31.668%	0.28426	0.969
V11	414	0.993	87.246	21.074%	20.932	14.152%	0.1029	0.992
V12	159	0.998	30.331	19.076%	6.026	7.822%	0.18881	0.998
V13	303	0.998	44.18	14.581%	8.146	7.095%	0.07976	0.997
V14	196	0.975	82.607	42.146%	19.47	28.915%	0.35862	0.973
V15	395	0.984	83.047	21.025%	21.323	17.767%	0.07352	0.982
V16	288	0.992	73.888	25.656%	14.061	12.557%	0.23102	0.991
V17	560	0.998	63.051	11.259%	12.121	6.229%	0.11786	0.998
V18	297	0.993	56.31	18.96%	11.449	12.872%	0.12266	0.992
V19	444	0.996	62.701	14.122%	11.708	9.25%	0.052	0.995
V20	236	0.997	57.061	24.178%	15.902	12.12%	0.29991	0.997
V21	749	0.992	149.169	19.916%	32.008	14.03%	0.07759	0.991
V22	210	0.975	70.394	33.521%	15.284	24.356%	0.29911	0.971
V23	118	0.997	18.908	16.024%	4.758	8.931%	0.1269	0.996
V24	740	0.999	83.146	11.236%	15.302	4.319%	0.04928	0.999
V25	345	0.998	40.594	11.766%	11.146	6.887%	0.05268	0.998
V26	291	0.993	76.539	26.302%	18.063	14.595%	0.1818	0.993
V27	184	0.97	99.862	54.273%	27.963	38.718%	0.64927	0.97
V28	556	0.996	89.075	16.021%	20.231	9.478%	0.07167	0.996
V29	63	0.976	23.383	37.116%	5.449	22.301%	0.34015	0.974
V30	506	0.998	76.949	15.207%	14.351	6.899%	0.06371	0.997
V31	515	0.998	72.544	14.086%	14.011	6.223%	0.06249	0.998
V32	521	0.998	70.452	13.522%	12.259	6.336%	0.07478	0.998
V33	280	0.997	60.161	21.486%	14.095	9.899%	0.13635	0.997
V34	159	0.976	54.835	34.487%	11.955	23.414%	0.23635	0.973
V35	1039	0.998	100.445	9.667%	20.178	6.549%	0.02545	0.998
V36	112	0.944	54.078	48.284%	16.964	48.213%	0.42858	0.941
V37	336	0.989	71.672	21.331%	17.027	16.129%	0.09222	0.987
V38	786	0.993	133.01	16.922%	29.932	11.731%	0.08113	0.992
V39	486	0.992	90.298	18.58%	26.376	14.165%	0.14339	0.991
V40	301	0.967	119.369	39.657%	29.48	26.906%	0.50992	0.964
V41	783	0.996	174.982	22.348%	39.24	11.392%	0.15482	0.995
V42	191	0.997	46.706	24.453%	12.843	11.699%	0.20075	0.997
V43	121	0.991	26.616	21.997%	6.754	13.959%	0.12878	0.99
V44	453	0.996	67.793	14.965%	15.422	9.055%	0.07687	0.996
V45	181	0.98	52.283	28.886%	12.9	20.348%	0.27876	0.977
V46	120	0.988	41.429	34.524%	10.376	17.499%	0.35692	0.987
V47	345	0.992	91.379	26.487%	21.189	14.152%	0.29756	0.991
V48	104	0.954	52.523	50.503%	10.301	35.842%	0.42256	0.948
V49	529	0.986	136.303	25.766%	31.242	18.251%	0.27285	0.984
V50	114	0.982	33.978	29.805%	8.028	19.528%	0.25637	0.98
V51	415	0.987	101.099	24.361%	22.344	17.402%	0.13325	0.986
V52	302	0.989	69.703	23.08%	17.162	15.153%	0.16423	0.988
V53	302	0.985	65.855	21.806%	13.856	17.215%	0.08768	0.982
V54	164	0.985	66.356	40.461%	17.886	23.293%	0.24293	0.985
V55	298	0.989	162.661	54.584%	70.69	39.352%	0.90436	0.99
V56	278	0.979	106.184	38.196%	26.597	27.234%	0.93076	0.978
V57	193	0.999	25.421	13.172%	6.85	6.4%	0.06497	0.999
V58	320	0.987	75.222	23.507%	16.258	17.899%	0.09166	0.985
V59	567	0.979	292.494	51.586%	101.799	40.034%	1.53177	0.98
V60	578	0.994	140.592	24.324%	31.141	13.153%	0.33081	0.994
V61	22	0.961	10.497	47.714%	2.705	27.608%	0.43056	0.959
V62	388	0.983	166.562	42.928%	42.854	32.659%	0.38782	0.984
V63	451	0.986	111.061	24.625%	22.027	17.365%	0.09016	0.984
V64	55	0.974	17.374	31.589%	5.27	24.13%	0.43547	0.972
V65	142	0.997	37.703	26.551%	12.418	13.068%	0.77681	0.997
V66	870	0.998	84.831	9.751%	19.221	6.127%	0.04234	0.998
V67	498	0.995	86.574	17.384%	23.4	11.004%	0.05027	0.994
V68	409	0.997	65.034	15.901%	13.276	8.413%	0.11848	0.996
V69	48	0.983	24.199	50.415%	6.984	29.151%	0.66436	0.983
V70	738	0.995	113.999	15.447%	29.413	11.347%	0.09772	0.995
V71	118	0.982	34.624	29.342%	6.902	20.127%	0.17004	0.98
V72	244	0.993	44.282	18.148%	13.629	11.689%	0.08725	0.993
V73	222	0.997	43.498	19.594%	8.516	7.854%	0.1938	0.997
V74	309	0.993	84.313	27.286%	17.798	13.256%	0.25308	0.993
V75	355	0.988	111.103	31.297%	23.881	17.812%	0.43144	0.987
V76	85	0.977	29.893	35.168%	5.759	21.877%	0.18381	0.974
V77	383	0.975	116.97	30.54%	26.004	22.919%	0.11885	0.971
V78	224	0.992	98.892	44.148%	32.738	25.522%	0.91084	0.993
V79	211	0.986	70.098	33.222%	16.3	19.725%	0.38539	0.985
V80	69	0.99	22.734	32.948%	6.423	14.245%	0.32435	0.99
V81	177	0.968	122.732	69.34%	41.831	50.672%	1000.0	0.969
V82	370	0.998	44.303	11.974%	8.03	6.499%	0.06581	0.998
V83	210	0.986	59.362	28.268%	12.223	19.839%	0.11317	0.984
V84	218	0.987	64.097	29.402%	13.318	19.393%	0.32249	0.986
V85	221	0.997	77.082	34.879%	33.86	22.671%	0.36288	0.997
V86	324	0.997	73.482	22.68%	16.322	8.785%	0.12978	0.997
V87	173	0.984	53.876	31.142%	10.943	18.18%	0.24651	0.982
V88	235	0.993	67.267	28.624%	13.593	14.832%	0.26368	0.992
V89	363	0.986	101.758	28.033%	21.47	20.813%	0.18439	0.985
V90	420	0.988	83.35	19.845%	21.119	15.542%	0.07606	0.987
V91	126	0.986	33.947	26.942%	7.144	17.206%	0.14286	0.984
V92	243	0.979	62.29	25.634%	14.23	20.893%	0.10617	0.975
V93	208	0.998	51.068	24.552%	12.13	8.822%	0.17782	0.998
V94	508	0.986	136.73	26.915%	29.731	20.245%	0.14207	0.985
V95	270	0.99	70.04	25.941%	14.966	16.425%	0.21228	0.989
V96	302	0.978	85.129	28.188%	18.768	22.413%	0.13654	0.974
V97	383	0.992	84.429	22.044%	18.016	12.892%	0.09136	0.991
V98	171	0.986	42.915	25.096%	8.513	16.454%	0.14748	0.984
V99	301	0.98	77.387	25.71%	17.043	20.451%	0.11367	0.976
V100	553	0.994	112.996	20.433%	26.174	12.894%	0.26261	0.993
