Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	568	0.994	108.688	19.135%	23.38	11.855%	0.07927	0.994
V2	373	0.992	127.324	34.135%	51.819	24.769%	0.90398	0.992
V3	349	0.996	60.809	17.424%	10.825	9.635%	0.12979	0.995
V4	290	0.995	59.727	20.596%	10.006	10.406%	0.15168	0.995
V5	361	0.99	83.097	23.019%	21.934	16.264%	0.20674	0.99
V6	105	0.956	39.823	37.927%	8.937	29.196%	0.30254	0.949
V7	635	0.995	130.244	20.511%	36.805	13.694%	0.18657	0.995
V8	159	0.994	78.009	49.062%	34.84	31.713%	1.36324	0.994
V9	72	0.964	36.823	51.143%	9.403	32.757%	0.89719	0.962
V10	289	0.997	81.766	28.293%	25.974	15.192%	0.22459	0.997
V11	357	0.981	83.307	23.335%	21.878	20.013%	0.15235	0.978
V12	142	0.991	30.4	21.408%	6.145	13.302%	0.14076	0.99
V13	93	0.988	26.465	28.457%	5.367	15.738%	0.20376	0.987
V14	488	0.997	142.357	29.172%	50.505	18.117%	0.34245	0.997
V15	126	0.985	40.866	32.433%	7.981	18.348%	0.22927	0.984
V16	341	0.996	57.363	16.822%	12.304	8.821%	0.06974	0.996
V17	129	0.98	38.845	30.112%	8.089	20.204%	0.22656	0.977
V18	160	0.99	42.893	26.808%	8.777	15.564%	0.12828	0.99
V19	257	0.996	67.855	26.403%	15.99	11.747%	0.28552	0.995
V20	459	0.997	105.95	23.083%	23.746	11.505%	0.10283	0.997
V21	564	0.997	72.722	12.894%	15.486	7.716%	0.08215	0.997
V22	301	0.99	61.62	20.472%	13.402	14.358%	0.08319	0.988
V23	196	0.996	31.572	16.108%	6.845	9.157%	0.10011	0.996
V24	379	0.995	60.115	15.861%	16.664	10.96%	0.14005	0.995
V25	338	0.996	55.413	16.394%	10.784	9.247%	0.11897	0.995
V26	92	0.929	42.64	46.348%	11.366	37.719%	0.36931	0.92
V27	191	0.991	44.993	23.557%	9.13	14.191%	0.13153	0.99
V28	155	0.991	49.056	31.649%	15.526	21.103%	0.43203	0.991
V29	242	0.997	58.295	24.089%	21.431	11.833%	0.34977	0.997
V30	457	0.991	99.781	21.834%	21.138	14.97%	0.07896	0.991
V31	179	0.997	30.955	17.293%	5.44	7.261%	0.11518	0.997
V32	250	0.984	71.602	28.641%	16.135	19.363%	0.27809	0.982
V33	372	0.997	66.928	17.991%	11.84	8.977%	0.09158	0.996
V34	350	0.983	112.64	32.183%	22.15	21.626%	0.16213	0.981
V35	158	0.98	43.306	27.409%	9.737	20.446%	0.3239	0.977
V36	286	0.994	47.105	16.47%	9.044	11.242%	0.08114	0.993
V37	220	0.993	44.193	20.088%	8.933	11.473%	0.08228	0.993
V38	261	0.995	117.498	45.018%	43.096	25.758%	1.11116	0.995
V39	158	0.97	53.03	33.563%	11.855	25.591%	0.40286	0.965
V40	251	0.995	42.005	16.735%	10.239	9.86%	0.13298	0.995
V41	154	0.983	62.78	40.766%	13.498	21.342%	0.87635	0.982
V42	130	0.971	48.447	37.267%	12.53	29.085%	0.24042	0.968
V43	121	0.997	29.135	24.079%	6.731	10.022%	0.34366	0.997
V44	126	0.981	54.638	43.363%	14.027	26.719%	0.4198	0.981
V45	286	0.982	99.073	34.641%	23.988	23.731%	0.39255	0.981
V46	482	0.998	69.839	14.489%	12.986	6.591%	0.20293	0.998
V47	83	0.961	37.323	44.967%	9.902	31.876%	0.27716	0.958
V48	286	0.984	70.807	24.758%	15.071	18.322%	0.10026	0.982
V49	151	0.973	72.966	48.322%	17.444	36.131%	0.48775	0.973
V50	318	0.999	66.911	21.041%	19.922	10.196%	0.24469	0.999
V51	144	0.975	47.26	32.819%	10.175	25.249%	0.2859	0.972
V52	187	0.993	34.615	18.511%	9.597	11.769%	0.14061	0.993
V53	271	0.985	77.84	28.723%	15.172	19.22%	0.21273	0.983
V54	411	0.997	54.395	13.235%	10.408	7.621%	0.06988	0.997
V55	340	0.996	70.535	20.746%	19.826	13.168%	0.21232	0.996
V56	87	0.986	26.257	30.18%	5.024	16.984%	0.22284	0.984
V57	784	0.999	79.293	10.114%	16.112	5.682%	0.0378	0.999
V58	300	0.994	64.51	21.503%	14.086	12.621%	0.15963	0.994
V59	144	0.986	84.509	58.687%	29.923	39.816%	1.05007	0.987
V60	494	0.991	91.084	18.438%	18.414	14.019%	0.05853	0.989
V61	148	0.972	43.463	29.367%	10.194	24.495%	0.19904	0.967
V62	443	0.992	96.29	21.736%	26.702	13.676%	0.5342	0.991
V63	314	0.997	53.875	17.158%	12.763	9.576%	0.17905	0.997
V64	71	0.924	36.141	50.903%	10.388	48.807%	0.98979	0.918
V65	228	0.972	64.341	28.22%	14.173	23.923%	0.18667	0.966
V66	154	0.99	32.408	21.044%	8.298	14.091%	0.17866	0.989
V67	120	0.985	32.879	27.399%	8.326	20.673%	0.20671	0.984
V68	393	0.999	42.577	10.834%	11.285	5.321%	0.14193	0.999
V69	282	0.998	55.49	19.677%	15.006	7.289%	0.38543	0.998
V70	125	0.986	45.531	36.425%	17.292	23.719%	0.57433	0.986
V71	63	0.98	20.384	32.356%	5.222	20.821%	0.18622	0.979
V72	265	0.991	65.247	24.622%	14.11	13.976%	0.22742	0.99
V73	462	0.986	212.374	45.968%	67.884	28.552%	0.93168	0.986
V74	372	0.995	57.303	15.404%	13.077	9.832%	0.06379	0.995
V75	327	0.992	102.835	31.448%	27.843	19.91%	0.25152	0.992
V76	140	0.987	37.198	26.57%	11.518	16.335%	0.72694	0.987
V77	890	0.992	143.564	16.131%	38.222	13.561%	0.25556	0.991
V78	642	0.996	90.757	14.137%	26.257	8.72%	0.07041	0.996
V79	210	0.981	73.182	34.849%	17.526	26.126%	0.69262	0.98
V80	104	0.971	46.397	44.612%	10.657	27.157%	0.63543	0.97
V81	359	0.99	80.885	22.531%	16.6	14.056%	0.15847	0.989
V82	186	0.997	59.673	32.082%	16.592	14.381%	0.45139	0.997
V83	197	0.988	48.936	24.841%	8.941	16.816%	0.1257	0.985
V84	43	0.951	27.616	64.223%	9.24	36.27%	1000.0	0.949
V85	224	0.985	76.676	34.23%	18.323	20.535%	0.47634	0.984
V86	280	0.991	122.08	43.6%	38.894	27.749%	1.13397	0.991
V87	543	0.997	87.795	16.169%	20.898	7.398%	0.12638	0.997
V88	250	0.994	46.487	18.595%	9.585	11.055%	0.09168	0.993
V89	218	0.98	63.467	29.113%	15.529	20.338%	0.15751	0.977
V90	243	0.994	48.175	19.825%	8.816	11.445%	0.10451	0.994
V91	704	0.978	204.631	29.067%	53.02	27.199%	0.55595	0.976
V92	325	0.99	75.641	23.274%	14.668	14.731%	0.1343	0.989
V93	270	0.977	77.754	28.798%	18.658	22.873%	0.19725	0.974
V94	559	0.991	93.1	16.655%	27.907	13.067%	0.13396	0.991
V95	547	0.997	85.467	15.625%	17.682	9.011%	0.12285	0.997
V96	331	0.981	108.419	32.755%	22.368	24.5%	0.30527	0.979
V97	303	0.977	98.658	32.56%	25.289	26.057%	0.38574	0.975
V98	472	0.995	105.96	22.449%	21.018	10.071%	0.19674	0.995
V99	295	0.988	66.525	22.551%	17.488	15.544%	0.22961	0.987
V100	473	0.981	138.787	29.342%	34.576	21.909%	0.15906	0.979
