Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	2.91E+00	2.39E+00	3.13E+00	3.90E+00	1.25E+01	6.83E-01	0.00E+00	6.08E+00	8.26E+00	7.27E-01	1.25E+00	0.00E+00	1.90E+00	1.49E+00
V2	1.38E+00	3.67E-01	2.08E+00	2.88E+00	2.91E-01	8.09E-01	1.71E+00	1.95E+00	7.00E-01	1.85E+00	1.72E+00	3.00E+00	1.06E+00	1.35E+00
V3	1.17E+00	0.00E+00	1.93E+00	3.92E+00	5.42E-01	1.36E+00	1.02E+00	3.01E+00	7.46E-01	1.67E+00	2.67E+00	2.94E+00	2.32E+00	1.98E+00
V4	4.89E+00	8.44E-01	3.56E+00	3.27E+00	9.55E-01	6.15E+00	6.27E+00	3.87E+00	3.69E+00	7.61E+00	3.98E+00	2.26E+00	3.09E+00	1.90E+00
V5	4.33E-01	5.30E+00	3.38E+00	1.10E+01	3.65E-01	5.63E-01	1.00E-01	9.40E+00	6.18E-01	0.00E+00	4.26E+00	9.64E+00	4.80E+00	5.46E+00
V6	3.27E+00	2.24E-01	2.03E+00	3.97E+00	1.13E+01	0.00E+00	6.51E-01	7.41E+00	1.10E+01	1.33E-01	6.00E-01	6.70E-01	3.53E+00	0.00E+00
V7	1.26E+01	5.97E-01	0.00E+00	3.48E+00	1.36E+01	3.14E+00	5.16E+00	8.22E+00	1.12E+01	8.21E+00	9.33E-01	1.83E+00	1.26E+01	1.58E+00
V8	1.29E+01	0.00E+00	1.77E+00	1.76E+00	1.07E+00	0.00E+00	1.03E+00	2.95E+00	9.75E-01	7.02E-01	1.16E+00	1.61E+00	1.27E+01	1.45E+00
V9	3.71E+00	4.77E+00	1.67E+00	2.37E+00	1.62E+00	3.17E+00	2.34E+00	2.16E+00	3.30E+00	4.63E+00	5.39E+00	7.06E-01	2.79E+00	8.84E+00
V10	3.24E+00	4.02E+00	1.51E+01	1.87E+01	2.70E+01	3.92E+00	1.81E+00	2.92E+01	1.24E+01	7.93E+00	4.16E+00	4.13E+00	3.79E+00	5.37E+00
V11	2.24E+01	1.18E+00	3.27E-01	1.00E-01	2.06E+00	1.63E+00	1.49E+00	5.97E-01	3.01E+00	2.15E+00	4.99E-01	1.00E+00	2.41E+01	6.71E-01
V12	1.45E+01	2.06E+00	6.96E+00	2.11E+00	0.00E+00	2.64E+00	2.66E+00	7.85E+00	1.13E+00	2.98E+00	1.30E+01	3.38E+00	8.87E+00	3.78E+00
V13	5.35E+00	1.17E+00	0.00E+00	6.51E-01	1.30E+00	6.00E-01	1.90E+00	7.95E-01	5.67E-01	2.29E+00	3.67E-01	9.31E-01	6.21E+00	1.17E+00
V14	1.10E+00	1.72E+00	6.00E-01	3.84E+00	1.00E-01	2.66E+00	2.99E+00	1.10E+00	3.79E+00	2.14E+00	3.41E+00	3.96E+00	1.72E+00	2.13E-01
V15	5.93E-01	3.12E+00	4.72E+00	4.00E-01	2.04E+00	3.14E-01	0.00E+00	6.62E+00	5.39E-01	0.00E+00	3.06E-01	0.00E+00	5.54E-01	1.00E+00
V16	5.82E-01	1.31E+00	6.63E-01	1.55E+00	1.31E+00	4.18E+00	2.38E+00	8.54E-01	1.78E+00	7.00E+00	1.22E+00	2.48E+00	1.35E+00	1.08E+00
V17	0.00E+00	6.23E-01	4.40E+00	1.12E+00	2.05E+00	6.15E-01	0.00E+00	3.61E+00	9.12E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-01
V18	3.60E+00	2.11E-01	4.81E+00	5.43E+00	1.43E+00	4.07E-01	6.00E-01	5.85E+00	1.98E+00	8.72E-01	3.61E+00	1.90E+00	1.92E+00	7.00E-01
V19	5.27E+00	0.00E+00	3.27E-01	6.03E+00	4.90E-01	1.00E-01	1.00E-01	3.77E+00	2.21E-01	0.00E+00	4.66E+00	2.18E+00	5.62E+00	2.03E+00
V20	9.39E+00	3.90E+00	3.83E+00	2.99E+00	0.00E+00	4.42E+00	5.47E+00	3.04E+00	5.34E+00	2.84E+00	9.18E+00	4.36E+00	3.08E+00	5.18E+00
V21	1.98E+00	5.49E+00	4.80E+00	4.89E+00	2.98E+00	3.30E+00	8.62E-01	5.65E+00	1.70E+00	2.95E+00	3.60E+00	5.51E+00	1.83E+00	8.95E+00
V22	8.36E-01	5.19E+00	4.45E+00	7.42E+00	1.15E+00	5.20E+00	4.82E+00	8.01E+00	1.23E+00	3.91E+00	4.28E+00	6.60E+00	1.95E+00	8.89E+00
