Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	746	0.965	324.724	43.529%	102.004	34.854%	1.26058	0.964
V2	79	0.966	40.191	50.875%	9.473	27.636%	0.40726	0.964
V3	444	0.997	118.763	26.748%	35.921	12.071%	0.81934	0.997
V4	419	0.935	174.475	41.641%	57.034	37.491%	0.23497	0.929
V5	240	0.989	66.135	27.556%	12.637	16.981%	0.15583	0.988
V6	410	0.955	165.729	40.422%	56.647	32.803%	0.27404	0.953
V7	191	0.948	78.407	41.051%	23.295	32.451%	0.29308	0.943
V8	481	0.908	243.185	50.558%	88.046	45.669%	0.38108	0.901
V9	730	0.994	169.747	23.253%	42.75	13.243%	0.10915	0.994
V10	401	0.997	78.719	19.631%	24.415	8.873%	0.56671	0.997
V11	174	0.868	117.526	67.544%	41.282	57.116%	1.85532	0.86
V12	120	0.928	59.225	49.354%	21.267	41.297%	0.40308	0.924
V13	138	0.963	50.002	36.233%	12.018	26.954%	0.18465	0.958
V14	81	0.957	37.621	46.446%	11.504	33.058%	0.53317	0.955
V15	291	0.992	68.447	23.521%	16.85	13.262%	0.09898	0.992
V16	86	0.98	33.827	39.334%	10.529	23.579%	0.8833	0.98
V17	197	0.988	65.932	33.468%	17.67	22.183%	0.24089	0.988
V18	133	0.969	55.357	41.622%	13.729	28.424%	0.20725	0.966
V19	302	0.994	63.219	20.933%	14.043	11.632%	0.24067	0.994
V20	465	0.96	182.871	39.327%	49.144	36.822%	0.17595	0.957
V21	545	0.968	184.623	33.876%	63.129	25.683%	0.32333	0.967
V22	194	0.954	87.651	45.181%	33.124	33.65%	1000.0	0.953
V23	302	0.976	95.475	31.614%	20.88	25.772%	0.21725	0.974
V24	211	0.929	108.326	51.339%	28.523	41.734%	0.40394	0.922
V25	89	0.986	19.672	22.103%	6.373	16.594%	0.39245	0.985
V26	235	0.976	94.354	40.151%	26.287	29.07%	0.89699	0.975
V27	184	0.976	50.733	27.572%	22.718	22.773%	1000.0	0.975
V28	125	0.971	44.32	35.456%	11.41	24.421%	0.24099	0.969
V29	324	0.944	142.025	43.835%	60.716	33.53%	0.9199	0.942
V30	386	0.992	74.93	19.412%	16.034	13.042%	0.15684	0.991
V31	188	0.969	83.976	44.668%	20.975	32.373%	0.3827	0.967
V32	197	0.949	89.597	45.481%	23.571	31.74%	0.47271	0.944
V33	691	0.997	98.219	14.214%	27.135	8.414%	0.0715	0.997
V34	245	0.735	189.742	77.446%	78.707	71.709%	1.50969	0.717
V35	172	0.969	55.94	32.523%	13.67	25.263%	0.3207	0.965
V36	249	0.955	106.451	42.751%	42.648	34.07%	1000.0	0.953
V37	263	0.982	88.049	33.479%	18.458	20.36%	0.17848	0.981
V38	341	0.972	125.995	36.949%	32.769	23.478%	0.6182	0.97
V39	131	0.986	60.521	46.199%	18.288	29.539%	0.48432	0.987
V40	190	0.995	40.515	21.324%	7.844	10.391%	0.12123	0.994
V41	162	0.883	84.117	51.924%	22.012	47.83%	0.37725	0.863
V42	346	0.977	123.829	35.789%	28.853	22.336%	0.25599	0.975
V43	513	0.975	141.861	27.653%	35.756	22.684%	0.12546	0.971
V44	388	0.96	126.801	32.681%	29.797	28.387%	0.17416	0.952
V45	85	0.953	39.222	46.144%	9.83	36.814%	0.6336	0.948
V46	133	0.947	56.416	42.418%	22.276	34.592%	0.2267	0.945
V47	396	0.989	86.846	21.931%	18.19	14.8%	0.0842	0.988
V48	193	0.964	76.866	39.827%	18.716	28.904%	0.6003	0.96
V49	737	0.991	419.069	56.861%	173.389	34.576%	3.73791	0.992
V50	84	0.998	25.058	29.831%	9.047	13.46%	0.74727	0.998
V51	191	0.984	50.742	26.566%	16.082	17.741%	0.29137	0.984
