Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.7,0.68,NO,N/A,63.58%,76.55%,128.31%,63.46%,94.15,0.4752,1.2339,0.218,0.522,0.765,0.447
3,1.0,0.99,NO,N/A,35.68%,56.39%,126.44%,44.5%,93.19,0.3422,1.2552,0.111,0.53,0.879,0.439
4,0.93,0.77,NO,N/A,27.69%,48.6%,104.77%,35.05%,86.02,0.2568,0.7674,0.07,0.37,0.924,0.57
5,0.92,0.78,NO,N/A,18.55%,33.17%,68.7%,22.09%,54.21,0.192,0.5151,0.038,0.158,0.958,0.825
6,1.0,1.0,YES,4.62e-02,13.49%,24.69%,55.8%,15.73%,44.12,0.1332,0.4562,0.019,0.099,0.979,0.885
7*,0.87,0.29,YES,Most Stab Sigs,10.93%,22.14%,51.29%,13.45%,46.31,0.1259,0.4434,0.012,0.103,0.986,0.881
8,0.78,0.25,NO,N/A,9.75%,21.11%,43.93%,12.5%,29.34,0.1177,0.3988,0.01,0.043,0.989,0.951
9,0.69,0.11,NO,N/A,7.5%,19.35%,42.26%,10.77%,26.95,0.1131,0.4009,0.006,0.037,0.993,0.958
10,0.67,-0.68,NO,N/A,6.99%,16.84%,36.59%,9.17%,27.09,0.1077,0.3646,0.006,0.037,0.994,0.957
11,0.68,-0.56,NO,N/A,6.17%,16.03%,36.69%,7.71%,29.14,0.1036,0.3657,0.005,0.042,0.995,0.951
12,0.6,-0.64,NO,N/A,5.81%,15.58%,35.34%,7.68%,22.67,0.1012,0.3575,0.004,0.026,0.995,0.97
13,0.58,-0.71,NO,N/A,5.51%,14.32%,33.72%,6.81%,24.77,0.0963,0.3731,0.004,0.03,0.996,0.966
14,0.46,-0.68,NO,N/A,5.49%,14.4%,36.19%,6.69%,25.07,0.1008,0.3432,0.004,0.032,0.996,0.964
15,0.47,-0.72,NO,N/A,5.04%,13.58%,29.56%,6.39%,20.26,0.0948,0.3389,0.003,0.018,0.997,0.98
16,0.38,-0.71,NO,N/A,5.09%,14.16%,29.41%,6.39%,21.18,0.0924,0.3544,0.003,0.022,0.997,0.976
17,0.31,-0.69,NO,N/A,4.9%,14.1%,31.29%,6.3%,19.0,0.0931,0.3611,0.003,0.018,0.997,0.98
18,0.37,-0.65,NO,N/A,4.51%,13.12%,30.63%,5.66%,19.01,0.0887,0.3538,0.003,0.018,0.997,0.98
19,0.3,-0.82,NO,N/A,4.25%,13.03%,29.88%,5.68%,19.64,0.0863,0.3398,0.002,0.018,0.997,0.979
20,0.31,-0.74,NO,N/A,4.88%,12.14%,31.85%,5.61%,18.12,0.0893,0.3725,0.002,0.016,0.998,0.983
