MutationType	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	47	1	9	23	5	18	11	5	6	6	25	4	7	8	17	8	14	16	21	3	165	47	13	1	49	0	20	4	7	24	2	10	26	15	24	29	32	11	24	16	29	1	0	3	12	59	2	28	5	3	21	0	25	57	1	3	4	14	4	21	23	0	7	5	35	1	1	2	1	0	0	4	36	7	14	1	131	3	31	7	15	0	36	0	29	13	35	6	2	16	109	25	14	69	53	49	53	25	75	22
1:Del:C:1	22	1	3	10	4	4	1	3	0	2	11	2	1	1	4	5	5	5	8	6	45	14	4	1	17	2	6	4	1	7	0	9	4	3	9	9	7	4	12	3	5	1	0	0	10	19	2	11	3	2	8	0	9	15	0	0	2	8	2	7	4	0	3	2	16	1	0	0	0	0	0	1	5	2	4	0	50	3	14	5	5	0	9	1	7	5	5	2	4	5	41	10	5	17	12	19	27	5	36	18
1:Del:C:2	2	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	1	0	1	0	0	2	1	0	0	1	1	1	0	0	0	1	0	0	1	0
1:Del:C:3	1	1	1	4	0	1	1	1	0	0	4	1	1	0	0	1	0	0	0	0	4	1	0	0	1	0	0	1	1	1	0	0	0	1	3	0	2	1	1	0	0	1	1	0	1	1	0	2	3	2	0	0	1	3	2	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	4	1	2	0	1	0	2	0	1	0	1	0	1	0	2	0	0	3	4	0	4	0	5	1
1:Del:C:4	2	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	1	3	2	7	3	0	0	2	0	0	0	1	2	0	0	0	0	1	1	1	2	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	2	2	2	1	0	2	0	4	0	0	0	0	0	0	1	2	0	0	0	3	0	1	0	0	1	4	0	1	0	0	1	0	0	3	2	0	2	1	2	0	1	1	2
1:Del:C:5	0	1	1	0	4	0	3	1	1	6	0	0	0	11	0	1	0	1	4	4	0	0	0	0	0	0	1	0	2	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	3	0	0	1	7	0	1	1	2	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	1	0	0	1	3	0	0	1	1	1	0	0	0	2	4	0	3	0	1
1:Del:T:0	20	1	9	13	4	5	7	2	0	3	10	3	2	8	8	4	3	5	12	14	45	25	7	1	15	4	1	0	4	16	1	4	15	10	7	12	7	3	3	6	3	1	2	3	3	17	2	6	6	6	11	0	8	17	1	2	6	7	1	18	5	0	1	2	12	2	0	1	0	0	1	5	13	4	6	2	34	4	14	6	10	1	14	0	7	5	8	4	5	5	44	12	4	24	12	18	26	11	21	10
1:Del:T:1	12	1	3	2	1	2	2	0	0	1	3	4	2	0	0	1	1	1	5	2	22	5	2	0	5	0	2	1	1	2	1	0	5	6	4	4	6	2	1	2	3	0	1	0	3	10	0	3	4	0	4	0	3	5	0	0	3	0	2	5	4	0	2	2	5	0	0	1	0	0	0	1	6	2	0	1	15	0	6	0	1	0	3	0	4	2	4	1	0	3	23	3	1	8	6	5	9	1	4	2
1:Del:T:2	17	1	0	7	1	3	0	1	0	6	8	1	1	4	3	1	2	1	11	0	43	11	8	0	12	0	3	5	2	3	0	3	5	7	3	10	7	1	8	5	8	2	1	1	3	14	0	8	2	2	8	0	4	18	1	1	0	4	1	7	2	1	2	1	7	0	0	0	0	0	0	0	8	4	5	1	29	1	7	2	1	1	8	0	8	2	12	1	4	4	30	9	5	20	12	21	21	4	21	9
1:Del:T:3	18	2	4	6	10	4	7	1	3	5	4	1	3	10	5	6	5	3	3	0	54	22	6	0	16	2	9	2	3	11	4	4	9	8	8	10	8	3	9	7	9	4	1	2	3	18	1	9	2	8	9	1	9	17	0	1	1	8	2	9	10	2	2	3	11	0	0	1	1	0	1	0	11	1	4	0	48	2	13	3	3	0	14	0	6	7	11	5	1	1	40	7	5	20	19	23	24	11	24	8
