Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	746	0.999	69.144	9.269%	16.329	5.579%	0.04386	0.998
V2	79	0.992	20.83	26.367%	4.31	12.574%	0.19559	0.992
V3	444	1.0	43.477	9.792%	8.293	2.787%	0.0763	1.0
V4	419	0.996	60.299	14.391%	15.884	10.441%	0.04646	0.996
V5	240	0.996	38.381	15.992%	6.689	8.988%	0.10181	0.996
V6	410	0.998	54.984	13.411%	11.697	6.773%	0.07671	0.998
V7	191	0.998	24.116	12.626%	4.439	6.184%	0.07945	0.998
V8	481	0.999	36.723	7.635%	7.994	4.146%	0.04458	0.999
V9	730	1.0	30.434	4.169%	5.14	1.592%	0.0233	1.0
V10	401	1.0	26.024	6.49%	5.926	2.154%	0.04074	1.0
V11	174	0.997	26.173	15.042%	5.909	8.175%	0.0921	0.997
V12	120	0.994	22.997	19.164%	5.786	11.235%	0.159	0.993
V13	138	0.994	24.315	17.62%	5.024	11.268%	0.11525	0.994
V14	81	0.978	26.121	32.248%	8.007	23.009%	0.26481	0.976
V15	291	0.999	37.96	13.045%	7.326	5.766%	0.07581	0.999
V16	86	0.994	16.922	19.677%	5.079	11.374%	0.17358	0.993
V17	197	0.999	20.859	10.588%	3.685	4.626%	0.06427	0.999
V18	133	0.976	40.693	30.596%	10.573	21.89%	0.19484	0.973
V19	302	0.999	25.092	8.309%	4.867	4.031%	0.05504	0.999
V20	465	0.981	103.579	22.275%	25.913	19.416%	0.10382	0.978
V21	545	1.0	35.953	6.597%	7.077	2.879%	0.03935	1.0
V22	194	0.999	25.535	13.162%	6.828	6.936%	0.07006	0.999
V23	302	0.99	63.224	20.935%	11.614	14.335%	0.11625	0.988
V24	211	0.996	35.468	16.809%	6.112	8.943%	0.09151	0.996
V25	89	0.999	8.092	9.092%	1.774	4.619%	0.06768	0.999
V26	235	0.999	25.414	10.814%	5.04	5.574%	0.0785	0.998
V27	184	0.972	59.634	32.41%	25.719	25.781%	0.19979	0.971
V28	125	0.996	21.11	16.888%	4.438	9.499%	0.12505	0.995
V29	324	0.999	27.933	8.621%	6.908	3.815%	0.05038	0.999
V30	386	0.998	39.621	10.265%	7.254	5.9%	0.05349	0.998
V31	188	0.995	38.222	20.331%	7.195	11.105%	0.11476	0.995
V32	197	0.991	49.074	24.911%	11.092	14.936%	0.12752	0.991
V33	691	0.999	57.615	8.338%	13.576	4.21%	0.04028	0.999
V34	245	0.996	34.908	14.248%	9.595	8.742%	0.06944	0.996
V35	172	0.984	36.922	21.466%	9.891	18.279%	0.1364	0.981
V36	249	0.998	25.962	10.427%	7.785	6.219%	0.04583	0.998
V37	263	0.997	39.029	14.84%	6.846	7.551%	0.11186	0.997
V38	341	0.996	64.925	19.04%	14.299	10.245%	0.08991	0.996
V39	131	0.998	18.602	14.2%	3.929	6.346%	0.10291	0.998
V40	190	0.998	27.297	14.367%	5.452	7.223%	0.08495	0.998
V41	162	0.984	38.588	23.82%	8.113	17.629%	0.16115	0.982
V42	346	0.996	59.13	17.09%	12.386	9.589%	0.08446	0.995
V43	513	0.998	49.831	9.714%	9.575	6.074%	0.03967	0.998
V44	388	0.997	55.741	14.366%	8.421	8.023%	0.07552	0.997
V45	85	0.994	15.847	18.644%	2.845	10.655%	0.13698	0.994
V46	133	0.999	15.079	11.338%	2.91	4.519%	0.0703	0.999
V47	396	0.997	49.723	12.556%	10.087	8.207%	0.06198	0.996
V48	193	0.985	47.784	24.759%	11.041	17.051%	0.13584	0.984
V49	737	1.0	57.518	7.804%	12.033	2.4%	0.04266	1.0
V50	84	0.999	11.15	13.274%	2.326	3.46%	0.10854	0.999
V51	191	0.999	25.046	13.113%	4.92	5.428%	0.08542	0.999
V52	249	0.996	39.756	15.966%	7.412	10.167%	0.10446	0.995
V53	243	0.999	33.406	13.747%	7.668	5.372%	0.06809	0.999
V54	383	0.983	94.037	24.553%	32.527	18.684%	0.16231	0.982
V55	436	0.999	39.088	8.965%	8.34	3.27%	0.05547	0.999
V56	265	0.999	34.765	13.119%	7.391	3.963%	0.09362	0.999
V57	329	0.998	38.45	11.687%	6.489	5.783%	0.0668	0.998
V58	284	0.987	61.058	21.499%	20.38	17.249%	0.13862	0.986
V59	271	0.997	40.826	15.065%	8.733	8.879%	0.06697	0.996
V60	325	0.99	55.507	17.079%	19.096	14.628%	0.09361	0.989
