Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	134	133	126	62	1036	0	161	388	224	0	50	35	0	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	7	0	82	10	9	0	0	39	9	15	0	38	25	0
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	0	212	0	30	2	97	92	27	7	22	85	0	0	2
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	326	252	146	32	420	0	2	4	164	52	79	0	29	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	32	4	135	0	0	34	8	0	67	28	0	4	63	0
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	51	54	177	48	7	171	4	0	3	6	15	0	4	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	300	47	30	8	3	66	0	23	12	45	9	14	2
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	131	389	15	24	11	0	112	51	48	1	4	0	68	29
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	90	84	0	130	6	0	0	68	35	46	50	65	21	22
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	127	0	194	61	20	0	9	62	0	42	34	77	27	58
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	135	261	81	22	16	0	123	28	0	25	2	53	54	11
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	527	105	237	251	17	0	0	0	66	13	6	140	73	3
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	51	0	214	34	14	0	20	95	42	3	15	147	9	0
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	0	95	21	30	12	0	51	22	43	36	28	21	4	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	67	27	133	16	11	0	69	75	17	15	56	38	5	5
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	27	98	0	7	0	0	0	4	60	15	65	0	10	17
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	62	83	0	107	624	0	26	74	124	24	45	0	0	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	33	181	49	52	2	0	59	17	42	19	14	33	64	10
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	17	167	51	19	14	153	3	49	97	5	53	13	0	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	77	144	2	32	14	0	20	18	31	13	12	0	18	6
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	48	226	0	32	5	151	62	62	0	8	0	0	36	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	186	128	160	62	15	0	61	62	15	22	0	0	47	8
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	35	0	104	22	6	0	2	7	69	35	0	1	28	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	429	530	0	66	11	36	103	68	57	25	105	0	45	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	0	34	234	12	9	101	0	17	6	21	17	0	0	51
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	398	371	75	64	1	44	107	56	79	47	15	0	44	2
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	0	159	96	59	5	53	124	0	22	7	0	1	16	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	96	137	0	55	13	105	66	0	29	8	0	24	22	25
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	82	13	167	26	7	0	48	18	53	13	2	11	0	15
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	0	21	36	18	2	103	0	16	30	29	52	11	3	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	35	0	187	1	416	0	83	0	27	86	30	0	0	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	0	22	0	9	2	12	0	34	0	31	36	28	33	2
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	29	0	93	2	4	0	0	0	33	17	0	0	39	0
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	254	9	329	32	5	75	99	0	0	6	0	26	9	0
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	28	0	177	11	3	0	67	7	0	20	51	0	39	0
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	160	62	274	34	0	11	4	0	44	33	0	38	0	0
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	1	2	6	10	2	0	0	17	0	0	0	0	0	16
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	185	144	261	51	23	33	0	46	56	24	5	0	32	0
