Samples	ID1	ID2	ID8	ID9	ID20	ID83E
V1	0	0	100	271	0	129
V2	0	173	0	75	0	0
V3	31	0	0	271	0	51
V4	0	0	0	617	0	145
V5	0	237	0	0	178	56
V6	49	79	0	0	0	48
V7	234	0	0	252	111	0
V8	173	0	342	0	0	119
V9	0	88	153	0	136	0
V10	0	17	0	0	0	0
V11	0	123	0	287	61	0
V12	82	0	0	0	222	0
V13	71	46	122	94	81	0
V14	23	0	0	157	0	0
V15	26	20	0	58	32	55
V16	31	37	86	60	0	0
V17	0	69	0	193	271	64
V18	0	122	66	0	0	18
V19	102	0	91	127	0	28
V20	161	155	99	0	0	33
V21	0	62	0	0	93	0
V22	40	27	0	50	76	102
V23	24	74	0	26	21	0
V24	0	89	0	227	0	0
V25	369	0	0	0	0	0
V26	0	75	52	84	0	96
V27	104	47	211	0	104	0
V28	0	129	66	78	0	21
V29	0	37	109	141	0	144
V30	87	0	0	626	0	0
V31	133	56	0	414	0	0
V32	13	62	95	0	0	0
V33	0	106	80	0	0	108
V34	40	145	0	158	134	49
V35	46	173	136	0	0	132
V36	9	7	26	0	0	12
V37	84	103	0	61	0	0
V38	0	104	0	0	0	263
V39	44	0	20	0	0	0
V40	0	0	182	118	0	0
V41	0	39	241	100	0	0
V42	73	75	445	0	158	107
V43	0	241	94	144	0	0
V44	0	43	70	0	65	123
V45	69	17	0	0	30	32
V46	0	107	0	0	414	0
V47	0	0	589	0	0	0
V48	205	65	224	0	0	0
V49	64	0	0	219	0	0
V50	55	14	0	0	0	41
V51	106	31	0	194	0	60
V52	101	50	0	276	44	58
V53	0	34	0	134	0	53
V54	0	81	38	0	0	0
V55	61	182	0	0	0	0
V56	0	21	0	0	42	0
V57	119	0	0	562	0	0
V58	139	0	0	80	0	108
V59	46	35	0	20	0	46
V60	0	0	117	125	48	45
V61	0	0	150	0	0	104
V62	0	0	0	0	179	457
V63	210	0	634	176	0	0
V64	16	119	38	0	0	0
V65	55	276	0	0	0	51
V66	58	40	78	0	64	0
V67	46	110	0	67	0	61
V68	123	71	0	208	117	0
V69	44	0	0	77	0	0
V70	13	43	0	0	0	103
V71	0	75	0	66	105	0
V72	0	0	0	453	0	175
V73	0	31	68	81	0	117
V74	91	53	0	0	177	0
V75	600	0	0	0	0	0
V76	86	15	46	0	0	0
V77	0	0	0	0	10	35
V78	242	0	0	0	0	0
V79	174	0	0	71	0	70
V80	1070	0	0	0	0	0
V81	0	0	0	161	0	35
V82	0	61	30	39	0	0
V83	17	0	42	36	0	0
V84	0	119	0	0	27	0
V85	0	34	0	0	40	0
V86	85	0	30	0	0	0
V87	20	0	29	29	0	13
V88	0	49	0	104	192	0
V89	65	0	53	0	0	20
V90	0	643	0	0	0	0
V91	0	76	37	0	0	81
V92	0	271	0	0	61	0
V93	47	224	0	0	85	36
V94	65	0	112	92	0	0
V95	0	0	99	0	0	366
V96	0	14	24	27	0	29
V97	0	0	0	0	0	392
V98	42	57	0	0	57	65
V99	33	103	52	77	0	0
V100	64	33	0	0	43	0
