Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	742	0.996	154.409	20.81%	35.049	11.014%	0.08039	0.996
V2	333	0.999	57.785	17.353%	20.748	7.862%	0.26557	0.999
V3	396	0.998	48.909	12.351%	12.835	7.143%	0.06407	0.998
V4	15	0.988	4.767	31.78%	1.481	15.357%	0.41548	0.988
V5	496	0.995	89.611	18.067%	23.935	11.286%	0.06468	0.994
V6	264	0.997	60.094	22.763%	11.506	8.978%	0.10761	0.997
V7	344	0.997	57.094	16.597%	13.111	7.898%	0.09316	0.997
V8	435	0.982	125.656	28.886%	28.792	21.809%	0.09624	0.98
V9	140	0.966	54.118	38.656%	12.331	26.471%	0.20521	0.962
V10	383	0.972	117.267	30.618%	30.052	23.95%	0.11873	0.969
V11	878	0.989	238.625	27.178%	52.71	17.609%	0.08033	0.988
V12	42	0.793	29.799	70.95%	9.149	65.35%	0.3988	0.768
V13	211	0.981	57.135	27.078%	13.479	19.576%	0.12964	0.978
V14	351	0.995	72.113	20.545%	16.054	11.444%	0.08791	0.995
V15	309	0.996	57.553	18.626%	13.398	9.778%	0.09872	0.996
V16	550	0.979	137.018	24.912%	40.541	21.359%	0.08392	0.977
V17	136	0.974	58.582	43.075%	11.889	24.401%	0.51828	0.971
V18	310	0.997	53.562	17.278%	12.014	7.251%	0.23297	0.997
V19	108	0.961	40.026	37.061%	9.489	28.253%	0.25369	0.956
V20	567	0.934	228.066	40.223%	78.976	36.621%	0.14882	0.928
V21	181	0.98	51.35	28.37%	10.603	20.077%	0.15281	0.977
V22	294	0.973	81.334	27.665%	24.304	23.144%	0.24717	0.97
V23	78	0.996	27.888	35.754%	8.893	17.21%	0.38838	0.996
V24	416	0.998	72.052	17.32%	16.921	8.485%	0.10003	0.997
V25	170	0.997	46.506	27.356%	10.658	11.271%	0.13736	0.997
V26	306	1.0	23.093	7.547%	6.212	2.424%	0.05764	1.0
V27	305	0.91	134.692	44.161%	37.588	42.877%	0.19652	0.895
V28	266	0.99	63.752	23.967%	14.435	15.448%	0.09788	0.99
V29	56	0.954	28.86	51.536%	7.256	35.49%	0.30332	0.95
V30	546	0.992	106.548	19.514%	27.764	12.941%	0.08336	0.991
V31	314	0.98	86.363	27.504%	21.908	20.149%	0.2175	0.978
V32	263	0.978	83.994	31.937%	16.679	22.891%	0.14684	0.974
V33	515	0.981	142.61	27.691%	31.206	19.975%	0.10027	0.978
V34	320	0.978	89.947	28.108%	19.764	21.329%	0.13266	0.975
V35	439	0.973	121.035	27.571%	32.941	23.988%	0.11669	0.969
V36	164	0.985	49.073	29.923%	10.589	18.416%	0.20484	0.984
V37	23	0.87	17.41	75.696%	4.336	59.56%	0.67454	0.858
V38	168	0.968	66.444	39.55%	15.495	25.501%	0.32465	0.964
V39	124	0.987	41.799	33.709%	8.713	17.302%	0.52119	0.987
V40	156	0.98	55.398	35.512%	13.591	21.452%	0.19525	0.978
V41	141	0.986	42.912	30.434%	8.328	17.017%	0.18944	0.984
V42	374	0.976	102.438	27.39%	23.277	22.005%	0.10185	0.972
V43	63	0.973	24.316	38.597%	5.165	23.076%	0.27164	0.97
V44	386	0.995	75.803	19.638%	17.335	10.235%	0.20638	0.995
V45	146	0.989	41.59	28.486%	10.418	16.648%	0.25779	0.988
V46	89	0.996	21.967	24.682%	4.358	9.231%	0.30398	0.996
V47	214	0.981	60.405	28.227%	15.316	19.263%	0.26453	0.979
V48	822	0.958	262.069	31.882%	87.324	29.156%	0.09266	0.954
V49	259	0.997	47.629	18.39%	12.257	7.542%	0.25057	0.997
V50	344	0.973	101.487	29.502%	29.817	23.043%	0.13987	0.971
V51	322	0.979	101.299	31.459%	29.439	20.625%	0.3591	0.977
V52	174	0.932	68.296	39.251%	20.695	36.448%	0.18105	0.923
V53	149	0.976	52.986	35.561%	11.319	21.739%	0.18139	0.974
V54	642	0.994	121.761	18.966%	29.701	11.459%	0.08378	0.993
V55	296	0.986	77.775	26.275%	16.647	17.152%	0.11894	0.984
V56	252	0.991	63.644	25.256%	17.099	14.27%	0.21692	0.99
V57	403	0.978	100.917	25.041%	31.942	20.982%	0.08737	0.976
V58	626	1.0	60.737	9.702%	11.717	3.504%	0.03992	1.0
V59	282	0.974	88.488	31.379%	21.524	23.071%	0.20619	0.971
V60	65	0.958	26.927	41.426%	6.839	30.616%	0.22176	0.954
V61	225	0.989	56.215	24.984%	13.535	14.999%	0.16207	0.988
V62	465	0.987	122.549	26.355%	25.83	18.023%	0.08778	0.985
V63	646	0.939	217.159	33.616%	63.086	35.536%	0.09584	0.928
V64	235	0.996	48.744	20.742%	8.691	8.844%	0.12145	0.996
V65	134	0.973	44.812	33.442%	11.5	24.687%	0.17815	0.971
V66	256	0.999	31.138	12.163%	6.037	4.296%	0.06662	0.999
V67	62	0.995	15.278	24.642%	4.362	11.24%	0.27211	0.995
V68	527	0.994	97.851	18.568%	29.898	10.982%	0.10752	0.994
V69	131	0.998	23.023	17.575%	5.965	8.36%	0.15868	0.998
V70	65	0.984	21.219	32.645%	4.717	18.403%	0.27388	0.982
V71	708	0.986	179.643	25.373%	39.876	17.244%	0.2327	0.984
V72	245	0.994	49.691	20.282%	9.319	11.911%	0.09069	0.993
V73	152	0.972	67.962	44.712%	16.266	25.447%	0.39484	0.971
V74	68	0.993	14.887	21.893%	3.163	12.582%	0.13007	0.992
V75	161	0.986	39.823	24.735%	8.968	16.61%	0.12259	0.984
V76	565	0.997	89.984	15.926%	19.726	8.195%	0.05849	0.996
V77	15	0.9	10.009	66.727%	2.651	43.582%	0.86292	0.892
V78	189	0.991	56.733	30.017%	12.122	15.154%	0.18091	0.99
V79	253	0.987	109.264	43.187%	35.045	30.275%	0.51613	0.987
V80	267	0.987	75.362	28.225%	16.181	16.667%	0.14445	0.986
V81	209	0.999	33.06	15.818%	9.85	7.751%	0.11292	0.999
V82	416	0.989	89.786	21.583%	19.893	14.861%	0.10737	0.987
V83	206	0.992	40.409	19.616%	8.79	12.521%	0.0883	0.991
V84	431	0.993	121.841	28.269%	26.375	13.532%	0.10796	0.993
V85	388	0.93	170.055	43.829%	44.354	37.545%	0.21329	0.92
V86	70	0.991	27.464	39.234%	6.942	23.27%	0.29286	0.991
V87	244	0.986	76.243	31.247%	17.396	16.965%	0.17445	0.986
V88	509	0.995	101.54	19.949%	20.66	10.446%	0.0802	0.995
V89	282	0.998	36.44	12.922%	8.131	7.226%	0.06491	0.997
V90	324	0.984	83.763	25.853%	22.342	18.426%	0.10505	0.982
V91	154	0.986	49.322	32.027%	9.684	16.782%	0.21623	0.985
V92	317	0.966	95.206	30.033%	24.621	26.038%	0.14517	0.961
V93	338	0.993	73.173	21.649%	15.281	11.744%	0.10041	0.993
V94	78	0.965	25.776	33.046%	6.222	26.483%	0.23133	0.96
V95	186	0.978	51.946	27.928%	11.213	21.484%	0.1303	0.974
V96	268	0.987	65.594	24.475%	14.988	16.11%	0.12122	0.986
V97	91	0.993	23.052	25.332%	5.274	12.298%	0.14029	0.992
V98	478	0.988	106.116	22.2%	29.26	15.648%	0.08335	0.987
V99	582	0.999	78.056	13.412%	17.082	4.902%	0.0626	0.999
V100	182	0.962	76.155	41.843%	20.188	32.294%	0.19565	0.959
