Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	2.24E+00	9.43E-01	9.02E+00	9.39E+00	1.14E+00	1.40E+01	4.89E+00	8.92E+00	1.47E+01	1.14E+01	1.72E+01	9.43E-01	5.37E+00	6.45E+00
V2	2.32E+00	4.07E+00	1.73E+00	3.08E+00	2.00E-01	4.88E+00	8.31E-01	1.65E+00	1.85E+00	4.43E+00	4.67E+00	4.44E+00	2.29E+00	4.27E-01
V3	2.16E+00	1.64E+00	4.48E+00	1.14E+01	1.31E+00	3.74E+00	4.82E-01	2.41E+00	5.42E+00	3.19E+00	9.67E+00	8.06E-01	1.26E+01	4.53E+00
V4	2.00E+00	1.42E+00	1.07E+01	2.88E+01	2.28E+00	2.02E+01	2.51E+00	5.70E+00	1.32E+01	1.62E+01	1.30E+01	2.80E+00	3.15E+01	2.70E+00
V5	7.72E-01	2.53E+01	2.95E+00	8.85E-01	7.97E+00	1.81E+00	3.08E+00	2.32E+00	5.99E+00	2.99E+00	1.53E+00	2.37E+01	4.00E-01	3.46E+00
V6	4.56E+00	4.70E+00	3.30E+00	0.00E+00	1.19E+00	9.20E-01	2.13E-01	2.69E-01	1.04E+00	4.51E+00	7.06E-01	4.72E+00	2.00E-01	1.96E+00
V7	8.21E+00	3.05E+00	1.77E+00	9.96E+00	4.78E+00	1.24E+01	2.25E+00	3.91E+00	4.30E+00	6.70E+00	6.85E+00	6.29E+00	1.23E+01	9.78E+00
V8	7.93E+00	4.00E+00	2.13E+00	2.33E+00	3.25E+00	2.33E+00	1.31E+01	1.77E+01	3.36E+01	1.09E+01	2.68E+00	1.49E+00	4.30E+00	2.06E+01
V9	4.18E+00	6.19E+00	2.86E+00	5.17E-01	7.12E+00	1.00E+00	5.83E+00	1.46E+01	1.04E+01	4.67E+00	1.24E+00	7.81E+00	1.73E+00	4.45E+00
V10	2.77E-01	9.55E-01	0.00E+00	4.07E-01	0.00E+00	3.89E-01	5.67E-01	0.00E+00	2.00E-01	6.11E-01	1.00E-01	8.00E-01	3.00E-01	1.00E-01
V11	1.79E+00	5.65E+00	8.36E-01	1.51E+01	2.90E+00	1.68E+01	3.27E-01	2.13E-01	8.14E-01	1.12E+01	9.54E+00	4.90E+00	1.25E+01	2.34E+00
V12	3.97E+00	9.00E-01	5.96E-01	2.26E+00	1.21E+01	3.25E+00	1.41E+00	2.13E+00	3.11E+00	3.91E+00	3.47E+00	1.15E+01	1.47E+00	2.38E+00
V13	5.47E+00	4.16E+00	1.42E+00	4.78E+00	6.06E+00	2.96E+00	5.62E+00	7.99E+00	2.40E+00	6.45E+00	2.18E+00	5.99E+00	1.69E+00	2.40E+00
V14	2.08E+00	0.00E+00	0.00E+00	3.83E+00	5.22E-01	7.56E+00	1.51E+00	1.26E+00	2.12E+00	2.38E+00	9.26E+00	1.00E-01	5.17E+00	1.63E+00
V15	1.52E+00	1.93E+00	1.74E+00	3.90E+00	3.18E+00	1.46E+00	0.00E+00	1.30E+00	6.96E-01	2.55E+00	1.55E+00	4.73E+00	4.42E+00	2.47E+00
V16	2.70E+00	1.52E+00	9.21E-01	3.83E+00	1.22E+00	2.01E+00	1.65E+00	5.72E+00	6.72E+00	7.68E+00	2.24E+00	8.23E-01	2.97E+00	4.64E+00
