Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	0.00E+00	3.82E+00	6.46E-01	6.29E-01	5.92E+00	1.41E+00	6.23E+00	8.54E-01	2.66E+00	1.00E-01	1.98E+00	2.00E-01	4.53E+00	1.59E+00	3.06E-01
V2	9.66E-01	5.59E-01	4.80E+00	1.25E+00	1.38E+01	1.02E+00	1.24E+01	1.61E+00	1.83E+00	7.33E-01	1.75E+00	6.16E-01	1.27E+00	8.03E-01	5.10E+00
V3	6.50E+00	1.12E+01	8.20E+00	1.62E+00	9.64E+00	7.06E+00	9.30E+00	4.01E-01	6.79E+00	2.29E+00	2.88E+00	6.15E+00	1.21E+01	3.11E+00	8.69E+00
V4	6.67E-01	5.72E+00	1.55E+00	4.87E+00	6.13E+00	0.00E+00	5.07E+00	5.33E+00	0.00E+00	2.25E+00	5.83E+00	8.00E-01	5.73E+00	5.00E+00	1.99E+00
V5	5.06E+00	1.78E+00	1.92E+00	3.13E+00	2.50E+00	9.24E-01	2.32E+00	3.11E+00	7.18E-01	1.92E+00	6.70E-01	6.10E+00	1.84E+00	1.83E+00	2.82E+00
V6	0.00E+00	0.00E+00	0.00E+00	3.94E+00	2.00E-01	8.44E-01	1.09E+00	2.10E+00	4.16E-01	3.11E+00	1.30E+00	5.33E-01	0.00E+00	2.87E+00	7.06E-01
V7	1.20E+01	2.24E+00	6.23E-01	3.51E+00	3.61E+00	4.33E+00	3.01E+00	4.35E+00	3.88E+00	8.46E-01	2.86E+00	1.03E+01	2.69E+00	2.40E+00	7.27E-01
V8	0.00E+00	2.40E+00	2.74E+00	1.70E+01	3.80E+00	8.17E+00	3.55E+00	1.18E+01	6.27E+00	9.23E+00	5.70E+00	7.06E-01	2.32E+00	3.12E+00	2.81E+00
V9	6.74E-01	4.23E-01	7.92E+00	1.04E+01	9.12E-01	3.07E+00	1.71E+00	7.25E+00	1.79E+00	4.36E+00	2.86E+00	0.00E+00	1.00E+00	1.59E+00	1.03E+01
V10	2.06E+00	1.29E+00	2.72E+00	1.15E+01	2.35E+00	2.45E+01	4.45E+00	1.40E+01	2.27E+01	1.21E+01	9.76E+00	1.74E+01	1.53E+00	8.29E+00	2.97E+00
V11	0.00E+00	5.70E+00	3.79E+00	8.03E-01	7.12E-01	1.72E+00	5.12E-01	1.09E+00	2.13E+00	1.49E+00	2.36E+00	0.00E+00	5.74E+00	6.24E+00	4.09E+00
V12	1.40E+01	3.96E-01	1.07E+00	3.40E+00	1.33E+01	8.49E-01	1.37E+01	3.29E+00	4.33E-01	1.98E+00	9.98E-01	1.49E+01	2.00E-01	2.39E+00	1.46E+00
V13	0.00E+00	8.44E-01	7.15E+00	2.13E-01	1.35E+01	0.00E+00	1.47E+01	5.73E-01	0.00E+00	4.01E-01	0.00E+00	0.00E+00	0.00E+00	1.72E+00	9.42E+00
V14	7.40E+00	5.87E+00	2.26E+00	1.34E+01	4.17E+00	2.50E+01	5.57E+00	8.80E+00	2.72E+01	5.97E+00	2.80E+01	8.82E+00	3.29E+00	1.09E+01	2.96E+00
V15	4.08E+00	7.44E+00	1.72E+00	0.00E+00	0.00E+00	1.51E+00	1.33E-01	0.00E+00	1.69E+00	3.40E-01	2.85E+00	2.33E+00	8.02E+00	0.00E+00	2.92E+00
V16	4.20E+00	3.29E+00	7.18E-01	1.89E+00	0.00E+00	1.28E+00	4.76E-01	1.98E+00	9.36E-01	1.35E+00	5.33E-01	4.12E+00	3.56E+00	1.89E+00	4.00E-01
