Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	135	0	0	177	1040	31	346	0	285	235	0	0	71	29	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	0	37	13	61	8	10	0	15	30	10	13	0	14	23	0
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	61	49	0	5	12	26	183	134	10	14	15	39	26	0	2
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	243	308	56	78	408	19	0	84	63	133	58	53	0	3	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	38	94	0	68	0	1	5	5	4	78	25	0	0	57	0
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	150	152	0	64	11	48	0	81	0	23	3	0	0	8	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	75	0	82	12	27	235	100	0	22	5	0	0	0	1
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	42	297	73	29	8	16	204	88	46	39	1	0	13	1	26
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	81	130	4	0	7	123	0	15	54	31	39	57	42	13	21
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	114	76	24	121	20	60	4	47	63	0	33	35	31	27	56
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	90	176	50	105	12	19	203	54	32	0	24	0	32	5	9
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	517	241	0	172	15	239	0	8	52	62	12	0	54	61	5
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	66	98	0	181	14	33	11	0	74	39	2	15	87	24	0
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	4	0	0	59	12	28	127	0	15	46	32	22	10	8	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	71	22	0	48	17	13	32	184	59	13	10	20	40	0	5
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	27	0	0	0	5	3	59	76	10	53	7	45	0	1	17
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	54	0	15	0	617	90	90	63	67	114	46	11	0	2	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	0	112	37	65	0	49	152	10	19	35	17	21	22	27	9
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	91	240	0	23	21	12	0	54	32	120	3	26	15	4	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	57	136	0	0	14	27	46	36	20	32	12	0	0	1	6
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	100	44	74	0	3	26	312	0	21	11	8	19	12	0	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	110	205	67	69	13	58	20	112	69	9	18	0	0	8	8
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	32	0	0	60	3	22	33	25	14	69	29	0	0	22	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	369	557	0	0	17	50	197	0	94	42	21	117	11	0	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	2	133	78	94	11	17	0	76	12	17	14	0	0	0	48
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	340	300	63	45	0	53	200	104	79	76	42	0	0	0	1
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	8	209	0	62	4	59	85	56	0	26	10	0	23	0	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	153	131	0	4	11	51	107	0	0	40	11	0	36	11	25
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	81	20	0	101	6	28	78	23	21	50	10	22	0	0	15
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	48	51	23	24	6	17	0	0	7	39	24	47	14	21	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	33	0	9	119	404	3	23	134	20	19	93	0	8	0	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	3	30	5	0	4	7	19	2	21	0	25	42	18	32	1
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	23	6	0	84	2	5	0	3	14	29	13	0	0	37	1
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	299	72	0	178	7	37	120	83	2	12	6	0	9	19	0
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	26	0	0	60	10	13	0	232	15	1	13	0	0	32	1
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	146	211	0	134	0	38	3	30	18	49	28	0	3	0	0
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	1	0	0	2	1	9	13	0	12	0	0	0	0	0	16
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	162	303	0	72	22	48	0	124	51	57	16	0	0	5	0
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	195	620	0	175	2	47	0	23	15	8	1	0	0	0	1
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	69	12	0	21	6	19	15	130	20	33	0	8	0	0	7
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	82	67	0	64	8	16	0	56	3	59	19	0	0	9	0
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	6	0	0	124	21	19	119	82	24	19	11	0	37	7	43
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	119	180	0	86	5	5	0	71	0	49	15	0	0	3	0
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	8	211	62	13	7	8	0	0	21	16	14	46	28	3	0
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	44	112	0	7	1	5	17	0	0	48	8	13	15	15	3
X2bd9ccca.3fae.4b66.a762.6f30d6276222..Panc.AdenoCA..DO35152	108	455	0	0	15	40	54	11	51	0	14	7	17	22	3
X2bf5b018.9f19.4fbd.9e1f.7d958aabe5d1..Panc.AdenoCA..DO51489	16	0	0	64	62	15	0	0	48	105	43	116	33	74	9
X2c48eefe.2a08.47bf.8e4d.cbaab6777150..Panc.AdenoCA..DO35222	5	59	0	0	0	11	84	0	0	16	10	23	11	17	8
X2e43e0ca.54ea.482e.acf2.0048d9187a5c..Panc.AdenoCA..DO35258	112	90	42	56	13	17	0	139	17	38	6	9	2	10	3
X2fdfb06c.0d2f.4e1d.9756.bcb08a7f90af..Panc.AdenoCA..DO221546	0	58	76	11	22	19	2	0	72	3	12	58	30	20	14
X31c75873.abb4.4d88.9e2f.07497a6c892d..Panc.AdenoCA..DO35082	71	106	139	29	27	24	0	242	80	109	11	0	0	42	40
X32fa6457.c8bd.4d26.8106.925baf13df68..Panc.AdenoCA..DO51518	111	298	0	58	7	18	96	139	45	13	2	0	0	0	2
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	53	17	0	64	30	29	103	16	0	29	11	0	9	12	0
X33070975.0f35.4518.9ffb.4c6170c32534..Panc.AdenoCA..DO33160	108	73	0	35	10	0	2	111	36	28	14	11	0	35	0
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	10	0	0	6	7	0	32	8	4	18	15	63	0	0	0
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	46	122	26	0	0	72	17	35	16	5	7	42	25	63	33
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	42	100	0	53	35	17	18	0	10	121	25	0	40	45	15
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	92	482	0	90	15	48	198	0	62	62	32	0	88	3	51
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	46	70	35	120	8	22	0	94	42	20	8	0	0	0	21
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	106	186	0	147	436	14	0	292	74	66	54	0	0	0	0
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	52	82	42	0	11	17	264	15	25	0	1	0	39	26	0
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	64	0	0	34	8	10	1	168	3	47	20	0	0	37	0
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	39	83	3	89	22	4	0	81	21	7	24	0	0	0	0
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	21	12	48	0	121	8	121	39	7	99	99	0	0	1	0
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	5	21	0	0	1	6	42	0	0	20	8	9	6	14	1
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	36	470	0	146	0	37	0	0	21	23	30	0	0	32	0
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	143	50	0	76	30	17	152	187	37	30	3	6	8	0	0
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	40	0	27	36	6	2	128	93	11	35	4	0	0	41	22
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	158	184	0	72	8	48	0	25	39	5	4	47	2	0	12
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	154	20	0	37	17	15	303	18	31	100	6	28	0	45	22
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	117	133	0	56	3	10	0	0	0	9	5	70	24	0	26
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0	0	0	0	2	0	0	0	1	0	0	0	5	0	10
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	19	344	0	58	0	27	1	0	12	0	7	67	33	0	24
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	199	10	0	0	394	46	51	0	32	55	215	48	93	0	39
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	72	44	0	80	3	9	79	79	2	29	18	70	8	5	4
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	70	147	45	54	4	37	175	0	32	46	25	31	1	0	42
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	137	229	0	99	11	42	0	0	32	59	4	39	2	0	0
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	0	193	25	10	13	17	107	0	22	53	11	4	6	25	0
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	68	31	48	0	12	7	106	8	0	30	5	39	29	22	0
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	94	188	129	109	829	6	74	236	61	2	121	0	41	6	0
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	105	0	0	8	27	17	0	133	48	21	4	86	42	0	0
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	46	119	0	86	1	0	5	0	7	4	12	82	0	18	6
