MutationType	ID1	ID2	ID8	ID9	ID83B	ID83C
1:Del:C:0	0.00015989	0.00482412	0.03982756	0.33493988	0.00972274	0.00023392
1:Del:C:1	0.00077352	0.00002210	0.02391594	0.09999423	0.00151968	0.00288537
1:Del:C:2	0.00000000	0.00000311	0.00333055	0.00269066	0.00023141	0.00040287
1:Del:C:3	0.00190761	0.00247208	0.00540315	0.01062542	0.00048720	0.00105979
1:Del:C:4	0.00070599	0.00385698	0.00127571	0.01249690	0.00000000	0.00035678
1:Del:C:5	0.00337011	0.01461542	0.00093373	0.00004480	0.00000000	0.00058286
1:Del:T:0	0.00131160	0.00790597	0.03424369	0.10510537	0.00413846	0.00477567
1:Del:T:1	0.00000000	0.00000000	0.01045208	0.04429364	0.00016787	0.00040691
1:Del:T:2	0.00093645	0.00703642	0.00899203	0.08586196	0.00157492	0.00025498
1:Del:T:3	0.00229585	0.02023474	0.00982504	0.11325066	0.00816578	0.00291841
1:Del:T:4	0.00429142	0.04711993	0.00127378	0.09441274	0.00072824	0.00179393
1:Del:T:5	0.00000000	0.81469723	0.01062034	0.00092983	0.00016565	0.00000019
1:Ins:C:0	0.00000000	0.00000000	0.00276427	0.00000000	0.00000653	0.00000040
1:Ins:C:1	0.00000000	0.00022703	0.00216912	0.00000193	0.00013823	0.00006467
1:Ins:C:2	0.00000000	0.00002620	0.00152700	0.00035262	0.00024952	0.00003334
1:Ins:C:3	0.00084599	0.00043005	0.00011652	0.00000000	0.00017491	0.00000009
1:Ins:C:4	0.00178553	0.00291185	0.00055418	0.00000216	0.00049215	0.00070276
1:Ins:C:5	0.02429654	0.00901754	0.00048949	0.00007370	0.00035102	0.00000000
1:Ins:T:0	0.00228382	0.00132856	0.00450798	0.01261448	0.00085139	0.00030100
1:Ins:T:1	0.00004030	0.00000000	0.00486870	0.01038527	0.00042601	0.00000000
1:Ins:T:2	0.00019286	0.00064703	0.00142964	0.00231466	0.00023375	0.00023549
1:Ins:T:3	0.00424327	0.00108288	0.00108729	0.00160089	0.00110336	0.00000000
1:Ins:T:4	0.01664913	0.00348746	0.00082262	0.00158536	0.00000000	0.00000000
1:Ins:T:5	0.89090647	0.00313258	0.02016125	0.00577248	0.01257125	0.00450098
