Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	86	149	0	135	1063	40	230	0	585	0	59	2
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	0	0	76	7	10	10	6	19	74	15	16	1
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	72	283	0	0	12	31	49	41	0	32	56	0
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	283	152	303	0	431	28	194	54	0	61	0	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	0	0	166	46	1	0	79	52	0	31	0	0
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	134	49	227	0	12	51	24	35	0	8	0	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	362	35	9	13	30	33	28	0	18	31	0
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	127	500	0	28	10	20	71	54	0	3	38	32
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	104	84	0	10	11	131	57	32	66	48	50	24
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	95	0	168	44	25	64	0	35	134	43	39	64
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	47	345	75	164	14	21	0	21	15	34	66	9
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	493	0	438	0	21	250	64	75	0	11	79	7
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	47	0	240	0	18	34	43	10	138	0	111	3
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	0	121	20	5	16	30	55	12	32	41	31	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	66	48	77	0	19	18	14	34	188	19	47	4
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	23	74	29	0	6	8	89	36	0	19	1	18
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	46	113	0	44	645	101	171	1	14	34	0	0
