Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	289	0.989	70.973	24.558%	16.29	14.978%	0.15107	0.988
V2	187	0.999	23.348	12.486%	5.338	5.085%	0.08203	0.999
V3	282	0.999	36.904	13.087%	8.22	5.086%	0.08647	0.999
V4	236	0.993	72.664	30.79%	24.827	17.892%	0.16593	0.993
V5	332	0.999	35.526	10.701%	6.543	4.533%	0.06246	0.999
V6	367	0.985	89.182	24.3%	19.794	17.447%	0.10361	0.983
V7	196	0.978	83.536	42.62%	27.89	27.807%	0.21687	0.978
V8	318	0.999	55.194	17.357%	12.913	6.862%	0.08483	0.999
V9	323	0.985	94.503	29.258%	19.346	17.501%	0.14729	0.984
V10	616	0.995	139.159	22.591%	38.742	13.57%	0.10094	0.995
V11	70	0.925	33.752	48.217%	8.618	38.312%	0.26954	0.915
V12	149	0.983	55.035	36.936%	11.465	21.294%	0.21139	0.982
V13	318	0.997	64.604	20.316%	16.388	11.103%	0.09886	0.997
V14	98	0.999	19.062	19.451%	3.742	5.912%	0.14749	0.999
V15	301	0.975	92.818	30.837%	22.472	22.313%	0.14198	0.972
V16	627	0.999	70.874	11.304%	14.527	5.605%	0.05857	0.999
V17	279	0.982	77.17	27.659%	17.47	19.122%	0.11975	0.979
V18	609	0.989	117.54	19.3%	31.22	15.037%	0.07917	0.987
V19	336	0.992	71.359	21.238%	15.62	12.919%	0.09476	0.991
V20	448	0.995	90.581	20.219%	19.088	10.075%	0.09184	0.995
V21	347	0.99	96.728	27.876%	26.7	15.287%	0.11959	0.989
V22	254	0.977	76.713	30.202%	15.723	21.472%	0.17482	0.973
V23	213	0.977	89.382	41.963%	20.429	23.629%	0.23069	0.976
V24	234	0.995	38.058	16.264%	10.208	10.11%	0.06896	0.995
V25	351	0.993	68.262	19.448%	12.662	11.445%	0.08601	0.993
V26	203	0.998	37.997	18.718%	7.268	6.177%	0.12788	0.998
