Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	0.00E+00	4.12E+00	7.16E-01	5.48E+00	9.21E-01	4.91E+00	1.84E+00	4.96E-01	4.00E-01	2.80E+00	2.69E-01	0.00E+00	1.28E+00	3.00E-01	0.00E+00	3.90E+00	0.00E+00	7.61E-01	4.27E-01	1.00E+00
V2	9.20E-01	3.40E-01	3.89E+00	1.70E+01	1.09E+00	1.59E+01	1.20E+00	1.15E+00	1.38E+00	1.23E+00	1.35E+00	4.01E-01	1.58E+00	1.06E+00	1.43E+00	6.05E-01	1.39E+00	3.97E+00	0.00E+00	1.33E+00
V3	1.74E+01	1.17E+01	3.71E+00	8.84E+00	1.33E-01	9.93E+00	6.17E+00	9.07E-01	2.83E+00	5.77E+00	0.00E+00	2.31E+00	1.39E+00	5.87E+00	1.08E+00	8.30E+00	2.17E+01	9.53E+00	2.48E+00	1.65E+00
V4	6.16E-01	4.35E+00	1.65E+00	4.50E+00	7.82E+00	3.98E+00	0.00E+00	4.68E+00	6.01E+00	0.00E+00	4.38E+00	4.29E+00	0.00E+00	0.00E+00	2.30E+00	5.13E+00	2.19E+00	1.56E+00	4.99E-01	2.61E+00
V5	4.93E+00	1.12E+00	1.46E+00	2.95E+00	3.52E+00	2.60E+00	3.42E-01	2.02E+00	2.01E+00	3.42E-01	1.59E+00	1.20E+00	1.32E+00	1.81E+00	3.05E+00	2.68E+00	5.03E+00	0.00E+00	0.00E+00	0.00E+00
V6	0.00E+00	0.00E+00	0.00E+00	6.23E-01	3.56E+00	0.00E+00	5.00E-01	1.00E+00	1.63E+00	3.65E-01	4.38E+00	1.28E+00	1.20E+00	2.69E-01	4.12E+00	1.00E-01	2.00E-01	1.00E-01	7.00E-01	3.38E+00
V7	3.47E+01	2.15E+00	6.46E-01	3.03E+00	3.22E+00	2.58E+00	4.24E+00	2.93E+00	1.03E+00	2.14E+00	1.71E+00	2.27E+00	2.79E+00	9.88E+00	1.50E+00	2.58E+00	3.90E+01	6.05E-01	5.02E+00	0.00E+00
V8	0.00E+00	2.58E+00	1.65E+00	4.50E+00	1.47E+01	4.24E+00	7.63E+00	8.14E+00	1.11E+01	4.03E+00	5.57E+00	5.12E+00	4.04E+00	3.00E-01	8.48E+00	2.27E+00	1.33E-01	3.69E+00	2.00E+00	1.22E+00
V9	6.83E-01	2.67E-01	5.65E+00	7.22E-01	1.04E+01	9.80E-01	6.00E-01	5.30E+00	9.37E+00	5.26E-01	3.90E+00	0.00E+00	2.60E+00	0.00E+00	7.27E+00	7.37E-01	1.08E+00	7.06E+00	6.00E-01	1.90E+00
V10	2.80E+00	1.14E+00	2.22E+00	1.91E+00	1.59E+01	1.73E+00	2.56E+01	8.77E+00	1.88E+01	1.16E+01	8.35E+00	4.31E+00	1.36E+01	2.76E+00	8.87E+00	0.00E+00	4.10E+00	3.53E+00	2.33E+01	2.07E+00
