Samples	ID1	ID2	ID8	ID9	ID17	ID83C
V1	0	50	74	36	0	30
V2	103	23	37	0	0	0
V3	16	68	0	0	110	0
V4	136	199	0	0	0	0
V5	0	45	122	99	0	0
V6	0	14	41	0	42	0
V7	0	0	0	0	0	59
V8	0	42	0	0	89	0
V9	0	0	58	0	0	60
V10	131	0	172	0	0	0
V11	17	112	0	46	0	41
V12	0	89	0	0	0	133
V13	20	29	0	0	0	60
V14	0	345	0	117	0	0
V15	219	0	0	0	0	0
V16	87	101	0	125	0	248
V17	0	256	0	0	124	0
V18	47	187	0	173	0	0
V19	103	0	0	57	0	44
V20	194	356	0	0	0	0
V21	85	94	167	134	0	0
V22	129	104	0	0	0	0
V23	9	60	0	0	28	17
V24	0	935	0	0	0	0
V25	20	44	58	0	0	62
V26	138	220	0	82	0	0
V27	136	47	0	0	0	49
V28	0	52	484	214	0	0
V29	0	99	450	0	0	0
V30	217	75	0	0	0	0
V31	0	619	0	0	265	0
V32	257	0	0	0	0	0
V33	127	114	0	0	0	55
V34	0	0	133	0	0	0
V35	71	0	83	88	0	0
V36	237	0	0	234	0	0
V37	0	15	0	49	44	22
V38	34	30	0	58	49	0
V39	85	0	0	64	0	58
V40	0	111	0	0	0	82
V41	0	124	220	0	0	107
V42	0	87	0	316	122	0
V43	22	25	0	116	0	18
V44	0	0	0	0	0	309
V45	24	28	0	0	0	137
V46	0	12	0	0	38	0
V47	54	173	86	0	0	217
V48	22	32	0	79	0	0
V49	25	168	0	0	0	0
V50	211	121	117	0	0	118
V51	0	150	0	277	0	0
V52	0	99	332	0	0	53
V53	0	0	28	65	0	0
V54	0	37	0	181	124	40
V55	185	122	0	0	126	59
V56	15	4	0	0	12	0
V57	82	0	0	30	0	32
V58	0	46	0	0	44	19
V59	9	26	50	0	0	31
V60	33	81	0	0	47	0
V61	0	143	0	0	78	50
V62	128	77	0	0	0	204
V63	0	122	0	133	0	45
V64	0	24	0	37	47	70
V65	40	235	0	0	126	104
V66	82	73	0	0	116	60
V67	0	81	275	0	0	0
V68	32	76	0	91	0	47
V69	201	0	0	50	0	0
V70	19	36	0	166	0	0
V71	0	77	34	0	80	0
V72	42	0	0	0	0	139
V73	36	148	64	0	0	39
V74	67	128	65	0	67	0
V75	0	317	0	0	0	0
V76	40	105	0	189	0	199
V77	51	192	0	0	0	186
V78	61	63	0	0	66	30
V79	106	53	79	0	0	0
V80	91	60	0	0	0	46
V81	155	0	0	0	0	174
V82	0	774	0	0	0	210
V83	0	0	0	0	0	71
V84	84	86	0	0	0	106
V85	0	167	0	0	263	0
V86	0	55	30	0	0	35
V87	28	94	0	0	142	132
V88	0	68	0	0	123	50
V89	67	55	0	0	0	217
V90	113	60	0	0	152	0
V91	10	0	92	0	0	28
V92	262	356	0	0	0	0
V93	104	59	0	0	0	0
V94	74	56	34	0	0	0
V95	0	23	55	0	120	48
V96	0	79	91	0	0	0
V97	277	92	0	102	0	0
V98	207	111	0	0	0	48
V99	26	27	0	0	0	0
V100	31	112	107	0	73	0
