Samples	ID2	ID6	ID8	ID83B	ID83C	ID83E
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	136	1040	0	485	688	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	17	0	0	108	109	0
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	60	0	0	314	202	0
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	306	420	0	380	400	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	56	0	0	120	199	0
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	194	0	0	346	0	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	0	0	559	0	0
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	117	0	0	542	224	0
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	109	0	0	115	246	147
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	156	0	0	288	267	0
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	167	0	0	644	0	0
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	637	0	0	474	0	327
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	88	0	0	285	271	0
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	0	0	0	171	192	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	75	0	0	229	230	0
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	27	0	0	90	186	0
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	64	585	0	0	354	166
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	36	0	0	277	200	62
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	122	0	0	241	278	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	74	0	0	201	112	0
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	171	0	0	459	0	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	220	0	0	546	0	0
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	35	0	0	94	180	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	521	0	0	954	0	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	70	0	0	277	155	0
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	404	0	0	598	301	0
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	28	0	0	312	131	71
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	218	0	0	362	0	0
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	82	0	0	203	170	0
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	76	0	0	71	174	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	0	426	161	278	0	0
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	17	0	0	54	138	0
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	29	0	0	77	111	0
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	342	0	0	502	0	0
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	25	0	0	206	172	0
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	206	0	0	454	0	0
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	0	0	0	33	0	21
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	199	0	0	437	224	0
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	281	0	0	806	0	0
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	69	0	0	138	133	0
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	89	0	0	143	151	0
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	0	0	0	289	223	0
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	137	0	0	258	138	0
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	77	0	0	206	154	0
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	60	0	0	106	122	0
X2bd9ccca.3fae.4b66.a762.6f30d6276222..Panc.AdenoCA..DO35152	190	0	0	607	0	0
X2bf5b018.9f19.4fbd.9e1f.7d958aabe5d1..Panc.AdenoCA..DO51489	33	80	0	0	430	42
