Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	244	0.999	35.68	14.623%	6.967	3.583%	0.1106	0.999
V2	965	0.999	91.296	9.461%	20.624	4.477%	0.02829	0.999
V3	234	0.993	45.784	19.566%	9.027	11.876%	0.09646	0.992
V4	20	0.994	5.918	29.59%	2.114	14.801%	0.15843	0.994
V5	132	0.984	35.963	27.245%	9.273	18.27%	0.17761	0.983
V6	299	0.986	75.796	25.35%	16.036	17.392%	0.09776	0.984
V7	394	0.996	57.168	14.51%	14.702	9.288%	0.04466	0.996
V8	444	0.996	79.855	17.985%	14.495	8.699%	0.06712	0.996
V9	496	0.999	52.858	10.657%	10.196	4.185%	0.0469	0.999
V10	331	0.996	56.352	17.025%	10.874	9.189%	0.08402	0.995
V11	164	0.998	26.345	16.064%	5.83	6.789%	0.08095	0.998
V12	68	0.983	29.902	43.974%	6.564	19.918%	0.3233	0.982
V13	276	0.994	49.29	17.859%	10.727	11.09%	0.08448	0.993
V14	168	0.991	40.213	23.936%	7.769	13.431%	0.12931	0.99
V15	132	0.993	28.599	21.666%	6.2	12.155%	0.13415	0.992
V16	321	0.999	37.478	11.675%	8.421	3.739%	0.06676	0.999
V17	172	0.993	41.205	23.956%	8.657	11.885%	0.12354	0.992
V18	202	0.991	46.832	23.184%	9.073	13.19%	0.10365	0.99
V19	7	0.896	5.606	80.086%	1.482	49.4%	0.52836	0.893
V20	201	0.998	31.946	15.894%	6.429	5.798%	0.10504	0.998
V21	311	0.997	45.624	14.67%	9.161	7.565%	0.0716	0.997
V22	90	0.987	33.251	36.946%	6.834	20.205%	0.26783	0.986
V23	457	0.998	54.151	11.849%	13.349	6.803%	0.04542	0.998
V24	189	0.995	39.131	20.704%	7.365	9.95%	0.13134	0.995
V25	158	0.998	26.459	16.746%	6.583	7.355%	0.08214	0.998
V26	320	0.996	48.277	15.087%	12.378	9.283%	0.0508	0.996
V27	315	0.999	34.684	11.011%	8.158	4.108%	0.05192	0.999
V28	95	0.978	30.88	32.505%	5.805	21.239%	0.23767	0.974
V29	157	0.996	36.548	23.279%	6.667	9.351%	0.15682	0.996
V30	123	0.967	43.367	35.258%	10.936	26.346%	0.1952	0.964
V31	201	1.0	18.507	9.207%	3.617	2.935%	0.06395	1.0
V32	356	0.999	34.992	9.829%	12.393	4.8%	0.04123	0.999
V33	94	0.969	36.654	38.994%	8.575	26.463%	0.22133	0.966
V34	142	0.988	35.192	24.783%	7.176	15.237%	0.13784	0.987
V35	66	0.974	26.91	40.773%	6.217	23.202%	0.22915	0.972
V36	219	0.992	53.249	24.315%	12.09	13.385%	0.10844	0.992
V37	254	0.994	52.147	20.53%	12.882	12.709%	0.10147	0.994
V38	278	0.997	52.855	19.013%	12.473	7.724%	0.10061	0.997
V39	213	0.995	45.184	21.213%	9.317	10.507%	0.12482	0.995
V40	92	0.999	12.263	13.329%	2.847	4.733%	0.08837	0.999
V41	259	0.997	37.615	14.523%	8.436	7.278%	0.07059	0.997
V42	299	0.999	30.538	10.213%	6.417	4.224%	0.04878	0.999
V43	97	0.988	30.432	31.373%	6.433	16.462%	0.20159	0.987
V44	204	0.98	58.385	28.62%	12.723	19.827%	0.11443	0.977
V45	142	0.994	30.503	21.481%	5.936	11.042%	0.13146	0.994
V46	275	0.993	46.071	16.753%	13.202	11.408%	0.06815	0.993
V47	352	0.999	41.327	11.741%	9.071	4.472%	0.05882	0.999
V48	572	0.999	54.784	9.578%	17.143	4.903%	0.03125	0.999
V49	582	0.999	55.004	9.451%	8.814	4.01%	0.04018	0.999
V50	221	0.998	28.272	12.793%	5.713	6.24%	0.07465	0.998
V51	176	0.966	60.855	34.577%	12.463	27.275%	0.21461	0.959
V52	196	0.977	58.741	29.97%	12.14	22.135%	0.12109	0.974
V53	225	0.997	34.508	15.337%	7.916	8.607%	0.06613	0.997
V54	517	0.999	57.112	11.047%	12.516	4.843%	0.04338	0.999
V55	122	0.989	37.308	30.58%	8.404	17.234%	0.16411	0.988
V56	161	0.989	39.349	24.44%	7.49	15.043%	0.12524	0.987
V57	186	0.987	53.206	28.605%	11.871	16.113%	0.17027	0.986
V58	549	1.0	48.142	8.769%	10.265	3.443%	0.03779	1.0
V59	356	0.999	30.274	8.504%	6.31	3.712%	0.05493	0.999
